"","W","q-value","p-value"
"7e464b9b7f9ca86103a675a09263efec",-0.223847522727316,1,0.822875950302295
"41f01f3e3cbf6beb908ae1ebb553208e",-0.384948961047407,1,0.70027523012367
"bc6f21affc11d8c4a5d6454f728e4add",0.161156912796723,1,0.871969816067276
"c2ba82ad21732bcd0ef11c61560cf91c",0.64275810700944,1,0.520381070298426
"250a576e3788b3f444938c7b08afb2e3",0.770429168725484,1,0.441045356366484
"eedb6e6a512baecd8df273d5495ca5c0",0.703104809071169,1,0.48199043539545
"ed32eeb458a2b9bdee12e2db96fcb98b",0.188805991361813,1,0.850244875874598
"645dd8b575c7e7c0952933bbe90b4bb9",-0.401272922538706,1,0.688219196956019
"0f898170dbe4592000abdcde0dd2ba2e",0.231554010689464,1,0.816884430830359
"b5c3abd1c966bb0457d8dfe34c35b160",0.81675800222102,1,0.414066737217096
"ca39c1dfb5e738c293917a0ab7391c33",0.175227600963621,1,0.860900797410283
"7d669e880492b330a9c9c649f65c2ba6",-1.11446531266863,1,0.265079617455388
"b67b924653e2ba692fd3ea7c8f75c2ee",-0.53034143613578,1,0.595875222438161
"632a77028290d1ecbd9bfe2958610b8c",0.2300980978835,1,0.818015542912251
"5b239eddc0c4c102c7f721bae475cf22",0.51242737618367,1,0.608351935329208
"51c79d7c5c2260b32f6ad5b82272898e",-2.0362297124157,1,0.0417272939916762
"20f887a0f58476d52027e0798805c1d2",-0.768930206507509,1,0.441934744282573
"3a4c1eb8dbc9f93fbbfbd8702754c0df",-0.970837622374792,1,0.331629144428746
"969732ae717bf5a9282f4781499aadb4",-1.3532826552297,1,0.175965348135084
"81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.609705666860139,1,0.542056799981032
"26de4690cd2c89c490c37a8d1418d67a",0.979134818210584,1,0.327513369858366
"c5bd025300b4ef0c652dd11cef56ac29",-1.29093407054483,1,0.196726539968185
"95251fbafeb9956f566a3da93d145d63",-0.0162951889496578,1,0.986998895695017
"cb3f42ad378ddeda014d895db355586b",-2.93171472676894,0.178661006678616,0.00337096239016256
"1e2270e7a0c8c2e951edc6813b58451a",0.730724759181547,1,0.464947289270048
"820d3c5095323f85949bc959fd15d1b7",1.11465939341526,1,0.264996408221947
"92fb114641e27921122496428e2ef0dd",2.0735377628413,1,0.0381222604919044
"5431c93e93b57f0b74748eb702ea1e72",-1.79254321417517,1,0.0730459933701537
"7c821085a5548386a8d91fe359fa3ff3",-2.94756941197436,0.172952733213157,0.00320282839283623
"3a8a7409bdc33da14a01ec3e3313b9a7",1.22982090042799,1,0.218764179805328
"564e9f4d70915c0026898422d57b1431",-1.84599596161145,1,0.0648927918042864
"386a607b118090dd71bfc8b4b4081447",-0.223947619693886,1,0.82279806144005
"afce1dc2c06acb90ad5d3da0fffbcd02",0.519262415611216,1,0.603577758921081
"1c6bf8efe709f63c28e0225da6870395",0.165308549691492,1,0.868701129721757
"f2d099ef5556f02539ded15181a3d994",-1.4861000451398,1,0.137252660373061
"304a3df568087b761af6bca76a3816aa",-2.30928286184765,1,0.0209278900402919
"2ddd18d49a8163e0fc79e28ea6273254",-3.35355499401084,0.0446771125377767,0.000797805581031727
"42604f7f8bfc866837a5370b4b667382",-1.47229193179423,1,0.140942061106825
"de4edf45ab75f6490e1ada65b0e0306f",-0.960040243482832,1,0.33703496123548
"e1a9800482df461df81429b3b8f859a1",-0.178769070262056,1,0.858119032369954
"c38ee4acf990375c9b9df651cf77bf7c",-0.109557994555669,1,0.912759925537604
"321b7763c5946d79f50284281735d5b0",-1.79939439094819,1,0.0719563162206623
"01491b7ad3b35c7e644dd24ae831bee2",-0.0988228964806356,1,0.921278888714249
"a67690654fca1914946ee270222b7247",-1.05737997050462,1,0.290338208953641
"95c08da59378a0eb674c2b7dab943428",-3.1553310854602,0.0881738365383241,0.00160316066433316
"6a49b0df18b1abfe220ecc00d5cbf296",-1.31578570288237,1,0.188245979263962
"5c4a1032c65d0d99d6d6bee379b63a2c",-0.175679779195282,1,0.860545522082406
"c4228a5878f56464e576996e95eefc5e",-2.33881198267218,1,0.0193451662962203
"f55e6f0203460ecfb665c9dbc579b714",-0.790266658671444,1,0.429372054051296
"b73c9d186b67a61bce0ba79c990aef39",-2.01873541008079,1,0.0435147274934832
"6960eba3db7d4d863d042ab497d7481a",-0.619126844213622,1,0.535832800254751
"6545176af2fa076f03140433793c0d00",-0.358985532051454,1,0.71960591263126
"ebc68f0a3a40711c1b0df994d93a6cac",1.38653547600899,1,0.165583455371036
"719ab97ff4cf3c7b809b054134f4dc70",0.704482521688224,1,0.481132331034592
"3fae853851bfe19cdb50e15749f373b6",0.35899984144393,1,0.719595207888296
"a99fb503372ef5103fa41e0c743bbad2",-0.772416796525028,1,0.439867608839543
