"","taxon","lfc_(Intercept)","lfc_Crohn_case_control","se_(Intercept)","se_Crohn_case_control","W_(Intercept)","W_Crohn_case_control","p_(Intercept)","p_Crohn_case_control","q_(Intercept)","q_Crohn_case_control","diff_(Intercept)","diff_Crohn_case_control","passed_ss_(Intercept)","passed_ss_Crohn_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",0.0529471704520218,0.42467975544609,0.238236432838167,0.328789384384086,0.2222463198481,1.29164679766542,0.825451777000859,0.205191370640956,1,1,FALSE,FALSE,TRUE,FALSE
"2","41f01f3e3cbf6beb908ae1ebb553208e",0.00977922572352034,0.427419370722936,0.168438384247476,0.264198152147586,0.0580581781712672,1.61779848666077,0.95648691742154,0.181015373970691,1,1,FALSE,FALSE,TRUE,TRUE
"3","bc6f21affc11d8c4a5d6454f728e4add",-0.0523497669765651,-0.0664689330715265,0.0905967357804492,0.197276517204607,-0.577832816222306,-0.336932819036884,0.603894026132721,0.758361903012344,1,1,FALSE,FALSE,TRUE,TRUE
"4","c2ba82ad21732bcd0ef11c61560cf91c",0.126604877223921,0.36061012392201,0.214226778765992,0.346466037378621,0.590985300498852,1.04082387598624,0.56055362295022,0.30926121121218,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",-0.205255742418687,0.911569571978951,0.593763001591453,0.721351548353737,-0.345686312330919,1.26369670108746,0.731772562431387,0.21519339664564,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-0.21245041839796,-0.106187393921087,0.108600582269739,0.226681150323998,-1.95625487412471,-0.46844386385596,0.107803453763653,0.659178658923562,1,1,FALSE,FALSE,TRUE,TRUE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",0.203954322529734,-0.014386280121246,0.34156917157144,0.470380706790632,0.59710986676992,-0.0305843328894214,0.55602594628375,0.975853957726438,1,1,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",0.689874439602336,-0.757385751743048,0.0824588561318903,0.210088798281473,8.36628680003643,-3.60507441585875,0.00111621496204658,0.0226556063443905,0.061391822912562,1,TRUE,FALSE,FALSE,TRUE
"9","0f898170dbe4592000abdcde0dd2ba2e",-0.220955296240202,0.891336630633803,0.2114827880897,0.320492491125208,-1.04479091767262,2.78114668928572,0.303712870397567,0.00888235206194571,1,0.470764659283123,FALSE,FALSE,TRUE,FALSE
"10","b5c3abd1c966bb0457d8dfe34c35b160",0.534031780090478,-0.485833256093705,0.15608161282317,0.321694827571523,3.42149065755427,-1.51023023827043,0.00349787282720877,0.150480152111971,0.185387259842065,1,FALSE,FALSE,TRUE,TRUE
