"","taxon","lfc_(Intercept)","lfc_CASE_CONTROL","se_(Intercept)","se_CASE_CONTROL","W_(Intercept)","W_CASE_CONTROL","p_(Intercept)","p_CASE_CONTROL","q_(Intercept)","q_CASE_CONTROL","diff_(Intercept)","diff_CASE_CONTROL","passed_ss_(Intercept)","passed_ss_CASE_CONTROL"
"1","7e464b9b7f9ca86103a675a09263efec",0.0110286041023037,0.14605036033962,0.106556047214155,0.160542927110035,0.103500499414534,0.909727777913994,0.917702185548295,0.364406381198449,1,1,FALSE,FALSE,TRUE,TRUE
"2","41f01f3e3cbf6beb908ae1ebb553208e",0.0339216960497984,-0.0314130392895805,0.0705514130900821,0.127931238011038,0.480808173274803,-0.245546277656362,0.635194970858842,0.808211303408959,1,1,FALSE,FALSE,TRUE,TRUE
"3","bc6f21affc11d8c4a5d6454f728e4add",-0.0470114376520022,-0.18167325826053,0.0746859028493791,0.126771161936465,-0.62945530359071,-1.43308032746107,0.533519613582647,0.161533274602782,1,1,FALSE,FALSE,TRUE,TRUE
"4","c2ba82ad21732bcd0ef11c61560cf91c",-0.0513635618112981,0.234749768209012,0.130188348206958,0.203805453779,-0.394532709867755,1.1518326122105,0.693815007058348,0.251440771519724,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",0.0678498349558398,0.0827536959298524,0.158048759412817,0.247362206699061,0.4292968524898,0.334544621970203,0.668277595531751,0.73840135913788,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-0.337303744707898,0.428914652993448,0.0782147781781473,0.127998848839532,-4.31253213989346,3.35092586286588,0.000206137776857359,0.00247201174544695,0.01092530217344,0.128544610763241,TRUE,FALSE,FALSE,TRUE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",-0.0391904685700871,0.264962025903188,0.155804949647864,0.21102035376697,-0.251535452876573,1.25562307698425,0.801774342833168,0.211374491760077,1,1,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",0.211669584625733,-0.0749154912206225,0.081761886248195,0.140335940918346,2.58885397999739,-0.533829685612838,0.0139340142988141,0.596833791502682,0.654898672044264,1,FALSE,FALSE,TRUE,TRUE
"9","0f898170dbe4592000abdcde0dd2ba2e",0.0766068018838005,0.0972270224556496,0.123317102044128,0.188513847221981,0.62121798691302,0.515755335156688,0.535303215529182,0.606707435941424,1,1,FALSE,FALSE,TRUE,TRUE
"10","b5c3abd1c966bb0457d8dfe34c35b160",0.162442173047174,-0.037141997271582,0.108041534385306,0.180993851544962,1.50351597625281,-0.205211375715464,0.135571722980116,0.837786248295001,1,1,FALSE,FALSE,TRUE,TRUE
"11","ca39c1dfb5e738c293917a0ab7391c33",0.236468863981433,-0.15044068483866,0.0920543434015237,0.159679847147706,2.56879637878682,-0.942139459211158,0.0130021407533255,0.350317218759634,0.624102756159622,1,FALSE,FALSE,TRUE,FALSE
"12","7d669e880492b330a9c9c649f65c2ba6",-0.0996909155205407,0.137090251640978,0.0878032022976436,0.142630590705944,-1.13539042895724,0.961156025242946,0.25929469311209,0.33910730187904,1,1,FALSE,FALSE,TRUE,TRUE
"13","b67b924653e2ba692fd3ea7c8f75c2ee",-0.163395197856903,0.0202818559029214,0.05626440627119,0.113393139571757,-2.90405975439163,0.178863165615825,0.00848630979935775,0.859759537266615,0.41582918016853,1,FALSE,FALSE,TRUE,TRUE
"14","632a77028290d1ecbd9bfe2958610b8c",0.113400465428766,0.0392691484748484,0.106970950196748,0.169881002695037,1.06010524558483,0.23115679712194,0.290618433625663,0.817474274769694,1,1,FALSE,FALSE,TRUE,TRUE
"15","5b239eddc0c4c102c7f721bae475cf22",0.18248135260804,-0.149447602945468,0.140027687310813,0.209415466641022,1.30318050745918,-0.713641668127838,0.194470894193003,0.476535966814695,1,1,FALSE,FALSE,TRUE,TRUE
"16","51c79d7c5c2260b32f6ad5b82272898e",-0.374226960779059,0.496899974190256,0.0856990982687903,0.135682350500545,-4.36675494070332,3.66222999791164,0.000117516028665379,0.00086783319364356,0.00634586554793044,0.0468629924567522,TRUE,TRUE,TRUE,FALSE
"17","20f887a0f58476d52027e0798805c1d2",0.0925743065010068,-0.048531614474279,0.123284497774426,0.174172355178217,0.750899814430768,-0.278641317243603,0.454716237603287,0.781173825433608,1,1,FALSE,FALSE,TRUE,TRUE
"18","3a4c1eb8dbc9f93fbbfbd8702754c0df",0.064900428413823,-0.137389561673442,0.100453870169224,0.157157778939766,0.646071956257055,-0.87421419798825,0.519727583881286,0.384117405196065,1,1,FALSE,FALSE,FALSE,FALSE
"19","969732ae717bf5a9282f4781499aadb4",0.431182320873398,-0.609649243220371,0.125456806542856,0.222424356759116,3.43689858490146,-2.74092843114576,0.000746737075897302,0.00681045709563628,0.0380835908707624,0.333712397686178,TRUE,FALSE,FALSE,FALSE
"20","81b95cf5e2e0e3f7579b7dfa4b2ebed0",0.0876110278636383,0.0166896715772185,0.136078309950591,0.196505615916943,0.643828012674828,0.0849322880638318,0.520614564403557,0.932422070016146,1,1,FALSE,FALSE,TRUE,TRUE
