"","taxon","lfc_(Intercept)","lfc_Crohn_case_control","se_(Intercept)","se_Crohn_case_control","W_(Intercept)","W_Crohn_case_control","p_(Intercept)","p_Crohn_case_control","q_(Intercept)","q_Crohn_case_control","diff_(Intercept)","diff_Crohn_case_control","passed_ss_(Intercept)","passed_ss_Crohn_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",0.0606577069546999,0.3869297422348,0.23748760886791,0.329045661320992,0.255414197161071,1.1759150407315,0.799942038886389,0.247797262625072,1,1,FALSE,FALSE,TRUE,FALSE
"2","41f01f3e3cbf6beb908ae1ebb553208e",0.00580492329537023,0.401354196442473,0.170049147738388,0.266001280931753,0.0341367385404413,1.5088430966821,0.97440365983751,0.205838217248638,1,1,FALSE,FALSE,TRUE,TRUE
"3","bc6f21affc11d8c4a5d6454f728e4add",-0.0563312314712421,-0.0925269452854623,0.0898964305632909,0.197918972525059,-0.626623672578218,-0.467499118982882,0.575348268843963,0.672006400417923,1,1,FALSE,FALSE,TRUE,TRUE
"4","c2ba82ad21732bcd0ef11c61560cf91c",0.135735882516794,0.321439641920524,0.214266402885632,0.347294643646231,0.633491208555201,0.925553122690703,0.532944102702941,0.364720453923403,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",-0.197540180530513,0.873814533382165,0.594664877430314,0.722743517833427,-0.3321874017247,1.20902437977113,0.741848592126925,0.235244892210595,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-0.204481450229319,-0.144195838798341,0.108757538068527,0.227638291868368,-1.88015887322198,-0.63344280795132,0.118852432081078,0.554283470102291,1,1,FALSE,FALSE,TRUE,TRUE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",0.211641241601385,-0.0521126759015091,0.342028219756766,0.471439059474928,0.618782981567701,-0.110539580576014,0.541888550516981,0.9129006510483,1,1,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",0.69744574705009,-0.794996535899415,0.0825272868952944,0.211029130860388,8.45109264206112,-3.76723598613201,0.0010740165227972,0.019651396000615,0.0579968922310487,0.923615612028905,TRUE,FALSE,FALSE,TRUE
"9","0f898170dbe4592000abdcde0dd2ba2e",-0.213239734352029,0.853581592037017,0.212081035901799,0.321672829609707,-1.00546347034426,2.65357068880417,0.321989800875851,0.0121555579016239,1,0.619933452982818,FALSE,FALSE,TRUE,FALSE
"10","b5c3abd1c966bb0457d8dfe34c35b160",0.541732257769929,-0.523573210481768,0.156257464567079,0.322625573268746,3.46692082372404,-1.62285092646897,0.00317797847242407,0.124156881544989,0.165254880566052,1,FALSE,FALSE,TRUE,TRUE
"11","ca39c1dfb5e738c293917a0ab7391c33",0.99160251518079,-1.17568410417302,0.0586123153829689,0.303409796628705,16.9179891410487,-3.8749048884923,2.72617606637034e-06,0.00821903948303774,0.000149939683650369,0.435609092601,TRUE,FALSE,FALSE,FALSE
"12","7d669e880492b330a9c9c649f65c2ba6",-0.140631391823168,0.574120067630875,0.139146040678524,0.256458556845882,-1.01067476399186,2.23864656610343,0.328198348816941,0.0407668505764644,1,1,FALSE,FALSE,TRUE,FALSE
"13","494975433cf1f940b003816db0232f8b",5.97100698805442,-6.43137590360983,0.0498327950664103,0.197456337735885,119.82083244773,-32.5711292802986,2.90951287469696e-08,5.2978023728842e-06,1.6293272098303e-06,0.000296676932881515,TRUE,TRUE,FALSE,FALSE
"14","b67b924653e2ba692fd3ea7c8f75c2ee",1.12813346121539,-1.32596236521843,0.0498327950664103,0.199553427911272,22.6383741813393,-6.64464839866344,0.00194554232965024,0.0219078135841269,0.103113743471463,0.98585161128571,FALSE,FALSE,TRUE,TRUE
"15","632a77028290d1ecbd9bfe2958610b8c",0.220594774257556,0.11694546499094,0.215623509299455,0.356664805666526,1.02305530122505,0.327886192113617,0.313107584701404,0.744897091630146,1,1,FALSE,FALSE,TRUE,TRUE
"16","5b239eddc0c4c102c7f721bae475cf22",0.33369325903821,-0.419027332398987,0.263169547299373,0.371909210073175,1.26797823860149,-1.12669253960272,0.214891659874208,0.269109576764734,1,1,FALSE,FALSE,TRUE,TRUE
"17","51c79d7c5c2260b32f6ad5b82272898e",-0.337004759505882,0.705909318759631,0.150619990269641,0.227061422261924,-2.23745041347151,3.10889146966295,0.055646373499391,0.0144697405834629,1,0.709017288589681,FALSE,FALSE,TRUE,TRUE
"18","20f887a0f58476d52027e0798805c1d2",-0.0437540960158428,0.359188393401894,0.221691744347401,0.312521134019204,-0.197364570993127,1.14932513133599,0.846594679450364,0.271128525214226,1,1,FALSE,FALSE,TRUE,TRUE
"19","3a4c1eb8dbc9f93fbbfbd8702754c0df",0.0250724316484821,0.333053568626641,0.196834478914152,0.26568619698769,0.127378250938532,1.25355992295706,0.900228183676505,0.228010463970969,1,1,FALSE,FALSE,TRUE,TRUE
"20","969732ae717bf5a9282f4781499aadb4",0.0635139678153771,0.410774728727754,0.303201846454185,0.573254806041974,0.209477509976095,0.716565695391093,0.835403409041819,0.478839625879985,1,1,FALSE,FALSE,TRUE,TRUE
"21","81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.0183411192159863,0.583536508900759,0.33747760263272,0.517372155761591,-0.0543476635868695,1.12788541556082,0.956967219708854,0.267040982913775,1,1,FALSE,FALSE,TRUE,TRUE
"22","26de4690cd2c89c490c37a8d1418d67a",0.117433565422653,0.203633571047997,0.172454514875991,0.307814748857544,0.680953847494791,0.661545854458841,0.501920843766732,0.514082930546138,1,1,FALSE,FALSE,TRUE,TRUE
"23","c5bd025300b4ef0c652dd11cef56ac29",0.160455471416886,0.270453719963075,0.148071772043349,0.300919208316399,1.08363308686487,0.898758578677068,0.290812867060496,0.378971357169581,1,1,FALSE,FALSE,TRUE,TRUE
"24","95251fbafeb9956f566a3da93d145d63",-0.217223951364496,0.973855267022515,0.274435678961914,0.360615799929584,-0.791529556893519,2.70053410641651,0.433966749105414,0.0105949628126908,1,0.550938066259922,FALSE,FALSE,TRUE,FALSE
"25","cb3f42ad378ddeda014d895db355586b",0.265893053967877,0.0458298666447722,0.23163640072997,0.314879305088877,1.14788976659088,0.145547407861042,0.25879972681384,0.885113693653638,1,1,FALSE,FALSE,TRUE,TRUE
"26","1e2270e7a0c8c2e951edc6813b58451a",0.317438309517761,-0.105606585706882,0.309548842628922,0.386775459643019,1.02548698558145,-0.273043656400418,0.313331645611659,0.786690513797288,1,1,FALSE,FALSE,TRUE,TRUE
"27","820d3c5095323f85949bc959fd15d1b7",-0.107649413203064,0.647760568377589,0.214449360613421,0.345767592864408,-0.501980574318985,1.87339872719537,0.619471353101336,0.071123786407551,1,1,FALSE,FALSE,TRUE,TRUE
"28","92fb114641e27921122496428e2ef0dd",0.170518449592316,-0.0266191107929211,0.108368519073347,0.205805767579574,1.57350539668171,-0.129340936874517,0.256249764667951,0.908922264860181,1,1,FALSE,FALSE,TRUE,TRUE
"29","5431c93e93b57f0b74748eb702ea1e72",0.413842014431225,-0.28079655990087,0.303255548274169,0.41548163959465,1.36466427996587,-0.675833859168408,0.181322765780574,0.503717440246572,1,1,FALSE,FALSE,TRUE,TRUE
"30","7c821085a5548386a8d91fe359fa3ff3",0.111687506164988,0.334760001176077,0.261582232324739,0.401677330529743,0.426969007689844,0.833405262713199,0.671944708960016,0.410111784185947,1,1,FALSE,FALSE,TRUE,TRUE
"31","564e9f4d70915c0026898422d57b1431",-0.00470681250806002,0.105578244943609,0.159589130030869,0.239478382906783,-0.0294933151596828,0.440867537445773,0.977294413551419,0.672603533457228,1,1,FALSE,FALSE,TRUE,TRUE
