feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X645dd8b575c7e7c0952933bbe90b4bb9	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.0940981992366473	0.0137921934704995	52	12	3.31510989486969e-08	1.82331044217833e-05
ca39c1dfb5e738c293917a0ab7391c33	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.124551675012751	0.0214032742132524	52	12	8.48385327867286e-07	0.000233305965163504
X20f887a0f58476d52027e0798805c1d2	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	0.347294236243776	0.0938531206402659	52	22	0.000647765541758595	0.118757015989076
X645dd8b575c7e7c0952933bbe90b4bb9	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	-0.002196175386293	0.000726922022000782	52	12	0.00437474535562879	0.217189689125558
X645dd8b575c7e7c0952933bbe90b4bb9	PM_WAIST_AVG	PM_WAIST_AVG	0.0024873491545344	0.000771651885886801	52	12	0.00252235234625895	0.217189689125558
X645dd8b575c7e7c0952933bbe90b4bb9	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	-0.221406815603163	0.0668702142515243	52	12	0.00197711377209038	0.217189689125558
X0f898170dbe4592000abdcde0dd2ba2e	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	-0.0156055277084249	0.00524682327330857	52	52	0.00495880652424778	0.217189689125558
X5b239eddc0c4c102c7f721bae475cf22	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	-0.00956458320064391	0.00326606511351896	52	47	0.0055990237125439	0.217189689125558
X20f887a0f58476d52027e0798805c1d2	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.00294550752945737	0.00102024348195281	52	22	0.00624358623009779	0.217189689125558
X20f887a0f58476d52027e0798805c1d2	PM_WAIST_AVG	PM_WAIST_AVG	-0.00314429218815348	0.00108302236427741	52	22	0.00598368028829735	0.217189689125558
X3a4c1eb8dbc9f93fbbfbd8702754c0df	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.0614674005403762	0.019711172092764	52	28	0.00336432807024647	0.217189689125558
afce1dc2c06acb90ad5d3da0fffbcd02	F1_SDC_AGE_CALC	F1_SDC_AGE_CALC	0.00154968304595252	0.00047433770102167	52	16	0.00223493445480234	0.217189689125558
X2ddd18d49a8163e0fc79e28ea6273254	PM_WAIST_AVG	PM_WAIST_AVG	-0.00359555241861884	0.00124736078343758	52	28	0.0063182455018344	0.217189689125558
de4edf45ab75f6490e1ada65b0e0306f	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.0257220962765643	0.00856895307420714	52	8	0.00460818948651923	0.217189689125558
X6960eba3db7d4d863d042ab497d7481a	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.00344560090976876	0.00111954599623745	52	23	0.0037574546726315	0.217189689125558
X6960eba3db7d4d863d042ab497d7481a	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	0.308040518422834	0.102988048741154	52	23	0.00474235219590442	0.217189689125558
X2ddd18d49a8163e0fc79e28ea6273254	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.00323476645756956	0.00117505579840433	52	28	0.00883983029822099	0.285994509648326
X6960eba3db7d4d863d042ab497d7481a	PM_WAIST_AVG	PM_WAIST_AVG	-0.00311797080618821	0.00118843528354781	52	23	0.0122564083083376	0.374501364976982
X3fae853851bfe19cdb50e15749f373b6	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.0161483745807704	0.00626184867302343	52	52	0.0136975354730069	0.396507605797569
X81b95cf5e2e0e3f7579b7dfa4b2ebed0	F1_SDC_AGE_CALC	F1_SDC_AGE_CALC	0.00348239678004707	0.00137855857585548	52	51	0.0155946811976537	0.428853732935476
X5b239eddc0c4c102c7f721bae475cf22	PM_BIOIMPED_FFM	PM_BIOIMPED_FFM	0.0142191908427318	0.00573315529446762	52	47	0.0174399154916264	0.436588001486692
X01491b7ad3b35c7e644dd24ae831bee2	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	-0.00267508607395127	0.00107883342389775	52	35	0.0174635200594677	0.436588001486692
bc6f21affc11d8c4a5d6454f728e4add	PM_WAIST_AVG	PM_WAIST_AVG	0.0015719190573868	0.000647850231832878	52	10	0.0198519869788516	0.448331422558903
X250a576e3788b3f444938c7b08afb2e3	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	-1.5490577203215	0.689098978026469	52	52	0.0301604775175989	0.448331422558903
X645dd8b575c7e7c0952933bbe90b4bb9	PM_STANDING_HEIGHT_AVG	PM_STANDING_HEIGHT_AVG	0.00122000678013534	0.000525601499502166	52	12	0.0254583363137618	0.448331422558903
X0f898170dbe4592000abdcde0dd2ba2e	PM_WAIST_AVG	PM_WAIST_AVG	0.0125558711651135	0.00556967728480643	52	52	0.0297218987934161	0.448331422558903
b5c3abd1c966bb0457d8dfe34c35b160	UC_case_control	UC_case_control	-0.0331069351032134	0.0139334081262397	52	38	0.0223749799182312	0.448331422558903
ca39c1dfb5e738c293917a0ab7391c33	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	-0.242753349946927	0.103771857274598	52	12	0.0244003378161629	0.448331422558903
X820d3c5095323f85949bc959fd15d1b7	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	0.179074396188894	0.0780593332383021	52	42	0.0271150415033569	0.448331422558903
X820d3c5095323f85949bc959fd15d1b7	PM_BIOIMPED_FFM	PM_BIOIMPED_FFM	-0.00336507335636203	0.0014895284942655	52	42	0.0293938702204838	0.448331422558903
X7c821085a5548386a8d91fe359fa3ff3	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.137023375630122	0.0603383687082395	52	52	0.028607985797805	0.448331422558903
X2ddd18d49a8163e0fc79e28ea6273254	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.0526433594127923	0.0222948217549081	52	28	0.023173419122279	0.448331422558903
X2ddd18d49a8163e0fc79e28ea6273254	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	0.257780160841202	0.108094445647031	52	28	0.0219194863476275	0.448331422558903
de4edf45ab75f6490e1ada65b0e0306f	PM_WAIST_AVG	PM_WAIST_AVG	-0.00112951559985976	0.000479419666924667	52	8	0.0234608137141133	0.448331422558903
c38ee4acf990375c9b9df651cf77bf7c	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.0423308310218736	0.0186985313860551	52	30	0.0290772255274832	0.448331422558903
X01491b7ad3b35c7e644dd24ae831bee2	PM_WAIST_AVG	PM_WAIST_AVG	0.00258645632940357	0.00114521753491121	52	35	0.0294391173567964	0.448331422558903
X6545176af2fa076f03140433793c0d00	PM_BIOIMPED_FFM	PM_BIOIMPED_FFM	-0.00788276075446625	0.00341586894440591	52	45	0.026270915410401	0.448331422558903
bc6f21affc11d8c4a5d6454f728e4add	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	-0.00131219206456522	0.000610296701259817	52	10	0.037648046238207	0.452874120640496
X632a77028290d1ecbd9bfe2958610b8c	F1_SDC_AGE_CALC	F1_SDC_AGE_CALC	-0.00664068251746228	0.00312913168962675	52	52	0.0400620051595109	0.452874120640496
X1e2270e7a0c8c2e951edc6813b58451a	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.00335398763373913	0.0015828011824003	52	43	0.0403469671116078	0.452874120640496
X564e9f4d70915c0026898422d57b1431	F1_SDC_AGE_CALC	F1_SDC_AGE_CALC	-0.00100204164158436	0.000465994689404041	52	9	0.0376278568134203	0.452874120640496
X1c6bf8efe709f63c28e0225da6870395	PM_WAIST_AVG	PM_WAIST_AVG	-0.00992926572853662	0.00462721740019523	52	52	0.0380075159012883	0.452874120640496
X2ddd18d49a8163e0fc79e28ea6273254	PM_STANDING_HEIGHT_AVG	PM_STANDING_HEIGHT_AVG	-0.00181090413512422	0.000849624954187131	52	28	0.0392503744258347	0.452874120640496
de4edf45ab75f6490e1ada65b0e0306f	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.000990042185549353	0.000451629445922127	52	8	0.034248220907823	0.452874120640496
de4edf45ab75f6490e1ada65b0e0306f	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	0.0910325392663367	0.0415458011960977	52	8	0.0343272503520761	0.452874120640496
X321b7763c5946d79f50284281735d5b0	F1_SDC_AGE_CALC	F1_SDC_AGE_CALC	-0.000864995337390587	0.000387744362140447	52	15	0.031365118424723	0.452874120640496
X95c08da59378a0eb674c2b7dab943428	PM_BIOIMPED_FFM	PM_BIOIMPED_FFM	0.00436269150837632	0.00203163546652554	52	45	0.037876922698899	0.452874120640496
X5c4a1032c65d0d99d6d6bee379b63a2c	REFINED_GRAIN_SERVINGS_DAY_QTY	REFINED_GRAIN_SERVINGS_DAY_QTY	-0.0144312797362352	0.00673350048423322	52	20	0.0382317991955987	0.452874120640496
X6960eba3db7d4d863d042ab497d7481a	A_SMK_CIG_CUR_FREQ	A_SMK_CIG_CUR_FREQ	0.0455341907211764	0.0212416112208711	52	23	0.0381954783572359	0.452874120640496
bc6f21affc11d8c4a5d6454f728e4add	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	-0.117603982386402	0.056141745517511	52	10	0.0425705541378355	0.459094211290383
ca39c1dfb5e738c293917a0ab7391c33	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	-0.00236795386899602	0.00112806649658832	52	12	0.042163285272464	0.459094211290383
X0f898170dbe4592000abdcde0dd2ba2e	REFINED_GRAIN_SERVINGS_DAY_QTY	REFINED_GRAIN_SERVINGS_DAY_QTY	0.0557878656096525	0.0272862009228534	52	52	0.0475198572714451	0.468440768292104
ca39c1dfb5e738c293917a0ab7391c33	PM_WAIST_AVG	PM_WAIST_AVG	0.00246833644126391	0.00119748007785236	52	12	0.0458180254431904	0.468440768292104
X5b239eddc0c4c102c7f721bae475cf22	PM_WAIST_AVG	PM_WAIST_AVG	0.00708261993516264	0.00346703666693053	52	47	0.0476957873170142	0.468440768292104
X95251fbafeb9956f566a3da93d145d63	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	0.307566377775029	0.149747749580576	52	48	0.0465619471457415	0.468440768292104
X01491b7ad3b35c7e644dd24ae831bee2	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	-0.204323101905436	0.0992428623900875	52	35	0.0460645120690085	0.468440768292104
X1c6bf8efe709f63c28e0225da6870395	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.00884269467693357	0.00435899437337804	52	52	0.0491918974548555	0.470609202707369
X6a49b0df18b1abfe220ecc00d5cbf296	NUT_VEG_DAY_QTY	NUT_VEG_DAY_QTY	0.00708470795556671	0.00349943136253835	52	35	0.0496278795582316	0.470609202707369
ca39c1dfb5e738c293917a0ab7391c33	PM_STANDING_HEIGHT_AVG	PM_STANDING_HEIGHT_AVG	0.001644000440397	0.00081564930515248	52	12	0.0505975431563807	0.470706992298373
afce1dc2c06acb90ad5d3da0fffbcd02	PM_BIOIMPED_FFM	PM_BIOIMPED_FFM	0.00309359407754656	0.00154007885352278	52	16	0.051349853705277	0.470706992298373
X0f898170dbe4592000abdcde0dd2ba2e	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	-0.936950903378711	0.482660018278619	52	52	0.0592996374957136	0.497669071557009
X969732ae717bf5a9282f4781499aadb4	F1_SDC_AGE_CALC	F1_SDC_AGE_CALC	0.0038376982867411	0.00196642567572569	52	50	0.0580111073769561	0.497669071557009
c5bd025300b4ef0c652dd11cef56ac29	PM_WAIST_HIP_RATIO	PM_WAIST_HIP_RATIO	0.243488182895663	0.127372034986535	52	30	0.0631064135797358	0.497669071557009
X820d3c5095323f85949bc959fd15d1b7	PM_BIOIMPED_WEIGHT	PM_BIOIMPED_WEIGHT	0.0016246231771268	0.000848554905778935	52	42	0.062718210472287	0.497669071557009
