feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ca39c1dfb5e738c293917a0ab7391c33	Crohn_case_control	Crohn_case_control	0.0194200308086402	0.00874836634710648	26	5	0.0361294499249099	0.535636827681498
X3a4c1eb8dbc9f93fbbfbd8702754c0df	Crohn_case_control	Crohn_case_control	-0.0136784475906768	0.00725343927254392	26	13	0.071484157710143	0.535636827681498
X81b95cf5e2e0e3f7579b7dfa4b2ebed0	Crohn_case_control	Crohn_case_control	0.0340643972548616	0.0188682319681735	26	25	0.083575662966304	0.535636827681498
cb3f42ad378ddeda014d895db355586b	Crohn_case_control	Crohn_case_control	-0.0274565415484284	0.0134258895780023	26	25	0.0519649595867902	0.535636827681498
X92fb114641e27921122496428e2ef0dd	Crohn_case_control	Crohn_case_control	0.00840617105759609	0.004776590117661	26	3	0.09117222598834	0.535636827681498
afce1dc2c06acb90ad5d3da0fffbcd02	Crohn_case_control	Crohn_case_control	0.0224804273805211	0.0102099072294332	26	12	0.0375320766970775	0.535636827681498
X321b7763c5946d79f50284281735d5b0	Crohn_case_control	Crohn_case_control	-0.0100176414539213	0.00568636355304315	26	8	0.0908562917221549	0.535636827681498
b73c9d186b67a61bce0ba79c990aef39	Crohn_case_control	Crohn_case_control	-0.0307421974761376	0.013193212627215	26	14	0.0285328426548563	0.535636827681498
bc6f21affc11d8c4a5d6454f728e4add	Crohn_case_control	Crohn_case_control	-0.00432901254150221	0.00538051475398076	26	3	0.428965164912424	0.752023707950887
c2ba82ad21732bcd0ef11c61560cf91c	Crohn_case_control	Crohn_case_control	0.00760087858219239	0.0115232963517585	26	21	0.515784591906261	0.752023707950887
X250a576e3788b3f444938c7b08afb2e3	Crohn_case_control	Crohn_case_control	0.0665268064807455	0.0775886127783586	26	24	0.399688778425903	0.752023707950887
X0f898170dbe4592000abdcde0dd2ba2e	Crohn_case_control	Crohn_case_control	0.0747061915699077	0.0618653861592343	26	25	0.238982542970713	0.752023707950887
b5c3abd1c966bb0457d8dfe34c35b160	Crohn_case_control	Crohn_case_control	0.0136561982014582	0.0178838073457676	26	15	0.452543393519215	0.752023707950887
b67b924653e2ba692fd3ea7c8f75c2ee	Crohn_case_control	Crohn_case_control	-0.00210242460760874	0.00353667605677901	26	3	0.557765248230539	0.752023707950887
X632a77028290d1ecbd9bfe2958610b8c	Crohn_case_control	Crohn_case_control	-0.0769551454091485	0.069152439735877	26	26	0.276802510646428	0.752023707950887
X5b239eddc0c4c102c7f721bae475cf22	Crohn_case_control	Crohn_case_control	-0.0180254453991634	0.0231683086310802	26	21	0.444159119709393	0.752023707950887
X20f887a0f58476d52027e0798805c1d2	Crohn_case_control	Crohn_case_control	-0.00854283222012668	0.00894905274903077	26	8	0.349293215056863	0.752023707950887
X969732ae717bf5a9282f4781499aadb4	Crohn_case_control	Crohn_case_control	-0.0331234607515455	0.0413580915566461	26	26	0.431050520372957	0.752023707950887
X26de4690cd2c89c490c37a8d1418d67a	Crohn_case_control	Crohn_case_control	-0.0163057632406999	0.0121348924107761	26	22	0.191609589161016	0.752023707950887
c5bd025300b4ef0c652dd11cef56ac29	Crohn_case_control	Crohn_case_control	-0.0111162214371667	0.0108421917859836	26	12	0.315457297935928	0.752023707950887
X95251fbafeb9956f566a3da93d145d63	Crohn_case_control	Crohn_case_control	-0.0109443393256484	0.0109310150558983	26	25	0.326709415781011	0.752023707950887
X820d3c5095323f85949bc959fd15d1b7	Crohn_case_control	Crohn_case_control	0.0111455861753211	0.00773727888918647	26	17	0.162644005998464	0.752023707950887
X7c821085a5548386a8d91fe359fa3ff3	Crohn_case_control	Crohn_case_control	-0.0240902420181582	0.0302246809761177	26	26	0.43324333484962	0.752023707950887
X386a607b118090dd71bfc8b4b4081447	Crohn_case_control	Crohn_case_control	0.0195892148547161	0.0146259753402221	26	26	0.193005430341623	0.752023707950887
X1c6bf8efe709f63c28e0225da6870395	Crohn_case_control	Crohn_case_control	0.019924494962394	0.033710757667973	26	26	0.560017654857044	0.752023707950887
f2d099ef5556f02539ded15181a3d994	Crohn_case_control	Crohn_case_control	-0.0155283594039918	0.0176493617908212	26	26	0.387678933739303	0.752023707950887
X2ddd18d49a8163e0fc79e28ea6273254	Crohn_case_control	Crohn_case_control	-0.00995200024890524	0.0103583049153333	26	11	0.346245764010928	0.752023707950887
a67690654fca1914946ee270222b7247	Crohn_case_control	Crohn_case_control	-0.00882903620611722	0.0108190900183491	26	22	0.422491348383551	0.752023707950887
X95c08da59378a0eb674c2b7dab943428	Crohn_case_control	Crohn_case_control	-0.0081780935160891	0.0110810908048357	26	20	0.467656443785251	0.752023707950887
