feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X7e464b9b7f9ca86103a675a09263efec	CASE_CONTROL	CASE_CONTROL	0.00310979563893998	0.00520026314490039	68	58	0.551881612943734	0.836949848067566
ed32eeb458a2b9bdee12e2db96fcb98b	CASE_CONTROL	CASE_CONTROL	-0.0132394463828886	0.0151442886797359	68	43	0.385168280534714	0.836949848067566
X645dd8b575c7e7c0952933bbe90b4bb9	CASE_CONTROL	CASE_CONTROL	-0.00283178016059771	0.00469989631578935	68	9	0.548892885641196	0.836949848067566
X0f898170dbe4592000abdcde0dd2ba2e	CASE_CONTROL	CASE_CONTROL	0.0434343482602904	0.0294648768210803	68	65	0.14520713131963	0.836949848067566
b5c3abd1c966bb0457d8dfe34c35b160	CASE_CONTROL	CASE_CONTROL	-0.0103365465418505	0.0102089039618021	68	40	0.314995144893626	0.836949848067566
X7d669e880492b330a9c9c649f65c2ba6	CASE_CONTROL	CASE_CONTROL	0.00323422996624691	0.00390040592538018	68	22	0.409978268339971	0.836949848067566
X494975433cf1f940b003816db0232f8b	CASE_CONTROL	CASE_CONTROL	-0.0229555393835736	0.0240118781139388	68	7	0.342557073062973	0.836949848067566
X632a77028290d1ecbd9bfe2958610b8c	CASE_CONTROL	CASE_CONTROL	-0.0228393705757721	0.0378719134050281	68	68	0.548529735762519	0.836949848067566
X5b239eddc0c4c102c7f721bae475cf22	CASE_CONTROL	CASE_CONTROL	-0.0228488195880796	0.0139056551944835	68	60	0.105111887357355	0.836949848067566
X51c79d7c5c2260b32f6ad5b82272898e	CASE_CONTROL	CASE_CONTROL	-0.00219849504598658	0.00229340014020092	68	8	0.34124972573246	0.836949848067566
X20f887a0f58476d52027e0798805c1d2	CASE_CONTROL	CASE_CONTROL	0.00370556329179545	0.00501683529987014	68	17	0.462752941141635	0.836949848067566
X81b95cf5e2e0e3f7579b7dfa4b2ebed0	CASE_CONTROL	CASE_CONTROL	0.00993383901707244	0.0151017654268138	68	66	0.512958796156283	0.836949848067566
X26de4690cd2c89c490c37a8d1418d67a	CASE_CONTROL	CASE_CONTROL	0.00475694165485897	0.00804233187265026	68	46	0.556214158176311	0.836949848067566
c5bd025300b4ef0c652dd11cef56ac29	CASE_CONTROL	CASE_CONTROL	0.00450538703556341	0.00548022100834041	68	31	0.413970086179438	0.836949848067566
X95251fbafeb9956f566a3da93d145d63	CASE_CONTROL	CASE_CONTROL	0.00829127799824626	0.00854677140421538	68	64	0.335535267805034	0.836949848067566
cb3f42ad378ddeda014d895db355586b	CASE_CONTROL	CASE_CONTROL	-0.0180464969986213	0.0111708170954163	68	67	0.110972394098082	0.836949848067566
X1e2270e7a0c8c2e951edc6813b58451a	CASE_CONTROL	CASE_CONTROL	-0.0186128181586814	0.00917113016792879	68	58	0.0464428554478384	0.836949848067566
X5431c93e93b57f0b74748eb702ea1e72	CASE_CONTROL	CASE_CONTROL	-0.0157691467828928	0.019601743417547	68	65	0.42401008947788	0.836949848067566
X7c821085a5548386a8d91fe359fa3ff3	CASE_CONTROL	CASE_CONTROL	-0.0123363615082854	0.01944721153133	68	67	0.528044380531841	0.836949848067566
X3a8a7409bdc33da14a01ec3e3313b9a7	CASE_CONTROL	CASE_CONTROL	-0.00150568506037402	0.00189430308772868	68	7	0.429550388015671	0.836949848067566
X1c6bf8efe709f63c28e0225da6870395	CASE_CONTROL	CASE_CONTROL	0.0458185071838717	0.0302802258163126	68	68	0.135015854680289	0.836949848067566
X2ddd18d49a8163e0fc79e28ea6273254	CASE_CONTROL	CASE_CONTROL	-0.00898442135177836	0.00634539261000372	68	34	0.161507752111322	0.836949848067566
X42604f7f8bfc866837a5370b4b667382	CASE_CONTROL	CASE_CONTROL	-0.00334772627981171	0.00486083117758211	68	36	0.493416713890005	0.836949848067566
de4edf45ab75f6490e1ada65b0e0306f	CASE_CONTROL	CASE_CONTROL	0.00113549890352751	0.00189395124969923	68	7	0.550865782008044	0.836949848067566
c38ee4acf990375c9b9df651cf77bf7c	CASE_CONTROL	CASE_CONTROL	-0.00604706667937543	0.00803771362912177	68	47	0.454523516393271	0.836949848067566
X321b7763c5946d79f50284281735d5b0	CASE_CONTROL	CASE_CONTROL	-0.00267762841126515	0.00460652084210776	68	26	0.563038988699999	0.836949848067566
X01491b7ad3b35c7e644dd24ae831bee2	CASE_CONTROL	CASE_CONTROL	-0.00499631975134705	0.00668431247919839	68	43	0.457435116206369	0.836949848067566
a67690654fca1914946ee270222b7247	CASE_CONTROL	CASE_CONTROL	0.0100292075975728	0.00826273966889662	68	62	0.229154703410575	0.836949848067566
X6a49b0df18b1abfe220ecc00d5cbf296	CASE_CONTROL	CASE_CONTROL	-0.00817157224969522	0.00679026144474948	68	54	0.23311063275311	0.836949848067566
X5c4a1032c65d0d99d6d6bee379b63a2c	CASE_CONTROL	CASE_CONTROL	-0.0174344769979975	0.0148104025500391	68	42	0.243352373876667	0.836949848067566
