Level,Grouping,Metric,Comparison,Model1 F,Model1 p,Model2 F,Model2 p,Model3 F,Model3 p,Model4 F,Model4 p
family,,chao1,CASE_CONTROL,3.454472114,0.064004637,0.587540689,0.444137743,0.084927832,0.771001798,0.35742283,0.550531789
family,,chao1,Crohn_case_control,0.101426601,0.750643383,0.192337092,0.661888243,0.414304208,0.521466872,0.030585479,0.861540579
family,,chao1,UC_case_control,5.271511162,0.023329016,0.969674188,0.327658101,1.072748702,0.304105462,1.138099932,0.289569693
family,,chao1,Both_case_control,0.489856227,0.486696343,0.005660312,0.940353946,0.055340177,0.815617066,0.053088054,0.819115858
family,,faith_pd,CASE_CONTROL,2.582984414,0.109010252,1.583836409,0.209452525,0.784720133,0.37666867,1.118765483,0.291298904
family,,faith_pd,Crohn_case_control,0.219906733,0.63990871,0.011460849,0.91495131,2.591263844,0.111036181,0.919204803,0.340117555
family,,faith_pd,UC_case_control,6.101439751,0.014844671,1.583819262,0.211782832,1.862679548,0.176950795,2.14409496,0.147412699
family,,faith_pd,Both_case_control,0.749412708,0.390110609,1.050464103,0.310760008,0.292039984,0.592906003,0.534255593,0.469688414
family,,observed_otus,CASE_CONTROL,5.952202073,0.015244998,2.555440055,0.111253152,1.551403287,0.214253308,2.304496909,0.130379355
family,,observed_otus,Crohn_case_control,0.143803737,0.705156834,0.287449669,0.593004391,0.412414545,0.52241601,0.028880655,0.865416268
family,,observed_otus,UC_case_control,7.803500112,0.006029197,3.167690957,0.078813335,3.548120228,0.064019548,3.584554752,0.062282506
family,,observed_otus,Both_case_control,1.397614892,0.241787342,0.347954525,0.558159878,0.191812051,0.664550055,0.096380704,0.758058193
family,,shannon,CASE_CONTROL,9.45511813,0.002288193,8.157488447,0.004670646,5.362000429,0.021501278,7.929083389,0.005288784
family,,shannon,Crohn_case_control,2.121779772,0.147666397,2.501151084,0.116799691,0.247135834,0.620338865,0.983478132,0.32386084
family,,shannon,UC_case_control,2.820215291,0.095562008,1.529654125,0.21969488,3.051470898,0.085316084,2.512262855,0.117286389
family,,shannon,Both_case_control,5.870285474,0.018433658,5.361018798,0.025104804,2.281335814,0.141401253,2.478230588,0.124429292
family,,simpson,CASE_CONTROL,7.163506208,0.007825833,5.978173123,0.015216363,3.606436667,0.058864699,5.587821503,0.018921891
family,,simpson,Crohn_case_control,2.069318172,0.15272934,2.575419823,0.111567803,0.286358509,0.593913286,1.088507895,0.299449725
family,,simpson,UC_case_control,1.714655631,0.19276518,0.790352079,0.376594284,1.848506578,0.178584185,1.50985429,0.223107795
family,,simpson,Both_case_control,4.208448277,0.044595989,3.368743236,0.072914283,0.744155611,0.395176818,0.939951608,0.338942776
family,,simpson_e,CASE_CONTROL,4.487198719,0.034924914,5.551168671,0.019287074,3.958598395,0.047870919,5.818711704,0.016644182
