,sum_sq,df,F,PR(>F)
Both_case_control,413.93723711870376,1.0,0.686075413540765,0.4131152486448294
A_SMK_CIG_CUR_FREQ,1.9214237204566338,1.0,0.0031846411856425744,0.955318103984751
F1_SDC_AGE_CALC,631.1404782216706,1.0,1.0460763752792688,0.31343009744137573
SDC_GENDER,466.28651494939965,1.0,0.7728411094376907,0.38533550852731646
PM_BIOIMPED_WEIGHT,48.95218280526061,1.0,0.08113522063300442,0.7774435518607344
PM_WAIST_AVG,115.32956034942792,1.0,0.19115162569323993,0.6646457552213129
PM_WAIST_HIP_RATIO,68.35108819218648,1.0,0.11328770860005513,0.7384415677516045
PM_STANDING_HEIGHT_AVG,1.3334996112208144,1.0,0.002210193273726691,0.9627703473563263
A_SLE_LIGHT_EXP,1099.1916809790423,1.0,1.8218423458047228,0.18575990354925262
NUT_VEG_DAY_QTY,242.33738503628487,1.0,0.4016592534956652,0.5303538844223156
REFINED_GRAIN_SERVINGS_DAY_QTY,8.08593358961173,1.0,0.013401935689504468,0.9084990938990948
PM_BIOIMPED_FFM,308.7361978952441,1.0,0.5117111862667263,0.47914414061115906
Residual,21116.92536012122,35.0,,
