,sum_sq,df,F,PR(>F)
Crohn_case_control,1044.0925092552566,1.0,1.8234926442588841,0.1801063155754054
A_SMK_CIG_CUR_FREQ,4.387637644382796,1.0,0.0076629464336568556,0.9304279342145263
F1_SDC_AGE_CALC,2.083171963540309,1.0,0.0036382300596636188,0.9520292803645641
SDC_GENDER,1043.1129429025991,1.0,1.8217818456248547,0.1803088307186348
PM_BIOIMPED_WEIGHT,1300.7197763709942,1.0,2.2716884983174466,0.1350745450079772
PM_WAIST_AVG,1065.2435693677292,1.0,1.8604326684344066,0.1757978427311722
PM_WAIST_HIP_RATIO,406.7944672772501,1.0,0.7104607228093109,0.4014080821514048
PM_STANDING_HEIGHT_AVG,1968.3826706194855,1.0,3.437752200254298,0.066824911974357
A_SLE_LIGHT_EXP,990.4576935789298,1.0,1.7298202052795786,0.19159956582446344
NUT_VEG_DAY_QTY,381.7193866945492,1.0,0.6666674529683383,0.41625864005806223
REFINED_GRAIN_SERVINGS_DAY_QTY,514.0480301264311,1.0,0.8977775373562733,0.34578232291121547
PM_BIOIMPED_FFM,491.442575722089,1.0,0.8582974343375762,0.3565632033177317
Residual,54394.94844771493,95.0,,
