,sum_sq,df,F,PR(>F)
Both_case_control,0.5834165413067023,1.0,0.19039869116999433,0.6657092692097797
A_SMK_CIG_CUR_FREQ,2.9544639580377465,1.0,0.964192872316227,0.33398586528713325
F1_SDC_AGE_CALC,1.568352761051204,1.0,0.5118338131589167,0.47987755533920473
SDC_GENDER,2.5601425608277326,1.0,0.8355056092486524,0.36797372308039444
A_HS_DENTAL_VISIT_LAST,17.109026733980787,1.0,5.583551488009485,0.024808905850702435
PM_BIOIMPED_BMI,3.0645327836562313,1.0,1.000113966170439,0.3252814937816898
PM_BIOIMPED_WEIGHT,1.9094099888182348,1.0,0.6231382503547965,0.4360783323710229
PM_WAIST_AVG,0.2339988196660631,1.0,0.07636579672553434,0.7841790867683764
PM_WAIST_HIP_RATIO,0.11675566609246084,1.0,0.038103352299363485,0.8465517974958341
PM_STANDING_HEIGHT_AVG,3.4103460392918086,1.0,1.112970538791398,0.2998596820448632
A_SLE_LIGHT_EXP,7.882009360957027,1.0,2.5723032513864394,0.1192269934010096
NUT_VEG_DAY_QTY,0.016003247477971834,1.0,0.005222679095541006,0.942868212689676
NUT_JUICE_DAY_QTY,2.1647108496246585,1.0,0.706455993871709,0.40727214578834403
REFINED_GRAIN_SERVINGS_DAY_QTY,3.5324624875912596,1.0,1.1528233888228145,0.29151961637420637
PM_BIOIMPED_FFM,2.9145292459510532,1.0,0.9511601309124145,0.3372232388923454
SALT_SEASONING,6.429546932474699,1.0,2.0982903878888894,0.157836198480136
NUTS_SEEDS_SERVINGS_PER_DAY,1.872992254298541,1.0,0.6112532788173152,0.44044350773307184
Residual,91.92550711167576,30.0,,
