,sum_sq,df,F,PR(>F)
CASE_CONTROL,9.816657961525884,1.0,3.6898506726362386,0.05603711468525649
A_SMK_CIG_CUR_FREQ,5.603843204300967,1.0,2.106352762597821,0.14811301119347592
F1_SDC_AGE_CALC,0.15010970088852302,1.0,0.05642270342549928,0.812463112711661
SDC_GENDER,3.6536846535919056,1.0,1.3733340643521055,0.2425073993236367
A_HS_DENTAL_VISIT_LAST,0.03018504875760822,1.0,0.011345849361191955,0.9152693145463247
PM_BIOIMPED_BMI,12.103263138609346,1.0,4.549331738777353,0.034039314821614715
PM_BIOIMPED_WEIGHT,12.050012581223797,1.0,4.529316107616788,0.03443122624825199
PM_WAIST_AVG,0.3991872131341708,1.0,0.15004507773050232,0.6988667576955943
PM_WAIST_HIP_RATIO,4.58085593840508,1.0,1.721835927442905,0.19082432940518976
PM_STANDING_HEIGHT_AVG,14.442267232729339,1.0,5.4285083245169305,0.020716725866303267
A_SLE_LIGHT_EXP,0.003954655616334705,1.0,0.0014864619652806077,0.9692804127961141
NUT_VEG_DAY_QTY,0.7348312556442167,1.0,0.2762057732417405,0.5997282419931493
NUT_JUICE_DAY_QTY,2.124991181695524,1.0,0.7987341691903594,0.3724487264315999
REFINED_GRAIN_SERVINGS_DAY_QTY,2.4151024742482945,1.0,0.9077801756989553,0.3417497163518173
PM_BIOIMPED_FFM,1.0425707098740986,1.0,0.39187779080996155,0.5319629237778927
SALT_SEASONING,3.3204858003877664,1.0,1.2480924579484316,0.2651356916069787
NUTS_SEEDS_SERVINGS_PER_DAY,0.03957330504063163,1.0,0.014874673926187878,0.9030406235564479
Residual,585.298686353805,220.0,,
