,sum_sq,df,F,PR(>F)
CASE_CONTROL,3325.2170038953077,1.0,6.133217751041149,0.014293934804535198
A_SMK_CIG_CUR_FREQ,12.869589047603363,1.0,0.02373739575579616,0.8777467414440141
F1_SDC_AGE_CALC,187.07314260883572,1.0,0.3450482532861749,0.5577474980011954
SDC_GENDER,1807.2913068394632,1.0,3.3334699995294326,0.06972484815292418
PM_BIOIMPED_WEIGHT,293.3084241364049,1.0,0.5409945971453786,0.4630843747347668
PM_WAIST_AVG,408.0235930347011,1.0,0.752581723452178,0.3869432738969564
PM_WAIST_HIP_RATIO,67.90678833303143,1.0,0.12525110966666259,0.7238677675343959
PM_STANDING_HEIGHT_AVG,9.334765879698752,1.0,0.017217568576160264,0.8957674616636444
A_SLE_LIGHT_EXP,251.4928198123099,1.0,0.4638675385472123,0.4967943798534684
NUT_VEG_DAY_QTY,0.14608691201218396,1.0,0.0002694509383593067,0.9869235431559038
REFINED_GRAIN_SERVINGS_DAY_QTY,1709.0477878184915,1.0,3.1522641130930524,0.07769925767811896
PM_BIOIMPED_FFM,126.2264122430385,1.0,0.232819112651096,0.6300926711451047
Residual,87830.75646378199,162.0,,
