,sum_sq,df,F,PR(>F)
Both_case_control,2.0351257955923048,1.0,0.626458429469829,0.4367443260506747
A_SMK_CIG_CUR_FREQ,3.516051049253343,1.0,1.082321212291415,0.30899219850118337
F1_SDC_AGE_CALC,1.647683906773224,1.0,0.5071949236432591,0.4835180150075139
SDC_GENDER,1.3267844304606347,1.0,0.4084146996473428,0.5290890577489609
A_HS_DENTAL_VISIT_LAST,7.737690795239757,1.0,2.381838819893822,0.13640135447328836
PM_BIOIMPED_BMI,1.3545263824961626,1.0,0.41695430920869975,0.5248511919951094
PM_BIOIMPED_WEIGHT,0.2541260253977697,1.0,0.07822582324045632,0.7822161539258662
PM_WAIST_AVG,1.6700790661252185,1.0,0.5140886676986697,0.4805928408688692
PM_WAIST_HIP_RATIO,0.3854431374879933,1.0,0.11864824429213021,0.7336348785286997
PM_STANDING_HEIGHT_AVG,1.005909796085428,1.0,0.3096421225699174,0.5832739880209463
A_SLE_LIGHT_EXP,7.377983408571401,1.0,2.2711126303830786,0.14541828768397544
NUT_VEG_DAY_QTY,0.5303376488251194,1.0,0.1632501004563269,0.6899140552632497
NUT_JUICE_DAY_QTY,2.228450342597776,1.0,0.6859681621641491,0.4160511631347469
REFINED_GRAIN_SERVINGS_DAY_QTY,1.947452921185755,1.0,0.5994707064864211,0.4466665332438594
PM_BIOIMPED_FFM,4.255413497410346,1.0,1.309913943455534,0.26418162472583306
SALT_SEASONING,5.68081504344111,1.0,1.7486852547053198,0.19904217553453402
NUTS_SEEDS_SERVINGS_PER_DAY,5.044794896741022,1.0,1.552903655810621,0.22525134304782735
Residual,74.71827514275205,23.0,,
