,sum_sq,df,F,PR(>F)
CASE_CONTROL,10.14361087820544,1.0,3.4620660768735774,0.06471106086732517
A_SMK_CIG_CUR_FREQ,3.8426169372500913,1.0,1.311504739742832,0.2539106057084323
F1_SDC_AGE_CALC,0.4446321666904019,1.0,0.15175522399948094,0.6974053204715949
SDC_GENDER,10.858013829912581,1.0,3.7058954443464365,0.05607584151156622
A_HS_DENTAL_VISIT_LAST,0.38962484566423783,1.0,0.13298094505769362,0.7158646337690526
PM_BIOIMPED_BMI,4.916437541116154,1.0,1.6780051832170892,0.19714080096060094
PM_BIOIMPED_WEIGHT,6.521753152459008,1.0,2.2259075808383306,0.13777192589435386
PM_WAIST_AVG,0.3751401314764594,1.0,0.12803723830229521,0.7209689937490051
PM_WAIST_HIP_RATIO,0.17836416120634077,1.0,0.06087659702811167,0.8054465084529623
PM_STANDING_HEIGHT_AVG,4.174647993550519,1.0,1.4248286310364204,0.2344577837581441
A_SLE_LIGHT_EXP,0.3855445869664066,1.0,0.1315883319742224,0.717291480584954
NUT_VEG_DAY_QTY,1.1632936181054667,1.0,0.39703803912073676,0.5295628445531824
NUT_JUICE_DAY_QTY,3.298280696674662,1.0,1.125720007310106,0.2903620747914443
REFINED_GRAIN_SERVINGS_DAY_QTY,10.158311604283227,1.0,3.467083509587668,0.0645196072667293
PM_BIOIMPED_FFM,3.4885121505109566,1.0,1.1906469717795367,0.2769144714965787
SALT_SEASONING,9.785076703604513,1.0,3.339696536264254,0.06957539553790824
NUTS_SEEDS_SERVINGS_PER_DAY,0.15917807859215208,1.0,0.05432828927417426,0.8160074845724812
Residual,448.2792731001087,153.0,,
