,sum_sq,df,F,PR(>F)
CASE_CONTROL,2093.093626468695,1.0,4.851274358785735,0.029121616773996953
A_SMK_CIG_CUR_FREQ,1.1519507689808193,1.0,0.0026699375304909427,0.9588578956536283
F1_SDC_AGE_CALC,277.95343263701443,1.0,0.6442274457466052,0.4234291335132927
SDC_GENDER,1264.2428441755235,1.0,2.9302028421798343,0.08896279559503222
A_HS_DENTAL_VISIT_LAST,280.29672257700855,1.0,0.6496586134007121,0.4214857426073416
PM_BIOIMPED_BMI,731.8276331749478,1.0,1.6961958065212124,0.19474331019766114
PM_BIOIMPED_WEIGHT,1024.1427751911222,1.0,2.3737101495085287,0.12545916222269535
PM_WAIST_AVG,434.4186337150501,1.0,1.0068751593669214,0.3172369439001485
PM_WAIST_HIP_RATIO,58.113945269448216,1.0,0.1346937800623838,0.7141212614630559
PM_STANDING_HEIGHT_AVG,723.6297455936452,1.0,1.677195126706197,0.19724837313844673
A_SLE_LIGHT_EXP,141.91790636985687,1.0,0.32893067539754345,0.5671314846275992
NUT_VEG_DAY_QTY,55.78797481128639,1.0,0.12930275469195596,0.7196518903518685
NUT_JUICE_DAY_QTY,104.26349655499068,1.0,0.24165704820760261,0.6237163533738086
REFINED_GRAIN_SERVINGS_DAY_QTY,689.5599989091629,1.0,1.5982298638003016,0.20807679062712378
PM_BIOIMPED_FFM,59.49315681625302,1.0,0.13789045197793676,0.7109009661308654
SALT_SEASONING,823.9791272245631,1.0,1.9097802226951446,0.16900203140508274
NUTS_SEEDS_SERVINGS_PER_DAY,7.730118990360549,1.0,0.01791650768702949,0.8936950682235362
Residual,66012.20651842635,153.0,,
