,sum_sq,df,F,PR(>F)
UC_case_control,0.021365052821284005,1.0,0.006889836160040635,0.9347636522379104
A_SMK_CIG_CUR_FREQ,1.7106007869746764,1.0,0.5516372580998744,0.46723261575341224
F1_SDC_AGE_CALC,4.269219704482424,1.0,1.3767447495284617,0.25594955303299494
SDC_GENDER,1.6399619218013974,1.0,0.5288575246891407,0.47644051726191594
A_HS_DENTAL_VISIT_LAST,2.6692785511528268,1.0,0.8607931858063322,0.36579153193898817
PM_BIOIMPED_BMI,0.6884221889543329,1.0,0.22200348066103384,0.6431777278633515
PM_BIOIMPED_WEIGHT,0.11780830152457113,1.0,0.03799100814711582,0.8476443324038142
PM_WAIST_AVG,0.805576473305091,1.0,0.25978358031140414,0.6164611486499985
PM_WAIST_HIP_RATIO,0.5510746238318803,1.0,0.1777114197618678,0.6783388956694506
PM_STANDING_HEIGHT_AVG,0.6463638449764353,1.0,0.20844043910928675,0.6534536175689463
A_SLE_LIGHT_EXP,9.078619183919217,1.0,2.927687530652501,0.10425003999988072
NUT_VEG_DAY_QTY,0.07353792189353413,1.0,0.023714625825384018,0.879326676811486
NUT_JUICE_DAY_QTY,0.07209253784718651,1.0,0.023248516082947483,0.8805087179911741
REFINED_GRAIN_SERVINGS_DAY_QTY,0.16959415115609977,1.0,0.05469099116865512,0.8177320099763622
PM_BIOIMPED_FFM,0.3516921003304704,1.0,0.11341422697741262,0.7401847452724658
SALT_SEASONING,1.869606177577688,1.0,0.6029135689511469,0.44755242881894886
NUTS_SEEDS_SERVINGS_PER_DAY,5.3472031009463015,1.0,1.724374546983551,0.20562569259063357
Residual,55.81714018303215,18.0,,
