,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.5069218515304577,1.0,2.197803866782654,0.14381353522763943
A_SMK_CIG_CUR_FREQ,0.17246111887209925,1.0,0.747720211275976,0.390888064166228
F1_SDC_AGE_CALC,0.25381257680371067,1.0,1.1004265471159085,0.29867880366765004
SDC_GENDER,2.3439478289798776,1.0,10.162390093296777,0.002346302373998149
PM_BIOIMPED_WEIGHT,0.14492286773560453,1.0,0.6283257234481349,0.4313155520628936
PM_WAIST_AVG,0.052158071124636426,1.0,0.22613586306362463,0.6362537175232275
PM_WAIST_HIP_RATIO,0.025399041909870752,1.0,0.11011975978852559,0.7412466407853211
PM_STANDING_HEIGHT_AVG,0.02538187320782756,1.0,0.11004532338452318,0.7413308947652373
A_SLE_LIGHT_EXP,0.06469366734519012,1.0,0.28048503298553634,0.598476936394128
NUT_VEG_DAY_QTY,0.4651762901664046,1.0,2.016812347261591,0.16110905282066243
REFINED_GRAIN_SERVINGS_DAY_QTY,0.33559260491096865,1.0,1.45499098630329,0.23280020990575723
PM_BIOIMPED_FFM,0.8589164337687812,1.0,3.7239070552609097,0.05871033458481744
Residual,12.9163589684925,56.0,,
