,sum_sq,df,F,PR(>F)
Crohn_case_control,0.0002058687564771913,1.0,0.06388935821566812,0.8041245178538965
A_SMK_CIG_CUR_FREQ,0.0003109443810384859,1.0,0.09649855220997573,0.7606493667414852
F1_SDC_AGE_CALC,0.003938429337011884,1.0,1.2222530850490008,0.2875561986740206
SDC_GENDER,0.024016033493866516,1.0,7.4531414725824,0.016269849737907946
PM_BIOIMPED_WEIGHT,0.006818272746706092,1.0,2.1159843648965535,0.16782056297856382
PM_WAIST_AVG,5.617203736073998e-05,1.0,0.017432443261694353,0.8968377650849291
PM_WAIST_HIP_RATIO,0.00019364483215393994,1.0,0.060095782671455066,0.8099015160017734
PM_STANDING_HEIGHT_AVG,8.029057326421881e-06,1.0,0.0024917395356139696,0.9608934518775747
A_SLE_LIGHT_EXP,0.0006115797507530206,1.0,0.18979780342549354,0.6697269744701666
NUT_VEG_DAY_QTY,0.0009609532382677452,1.0,0.2982224535610692,0.5935951783117388
REFINED_GRAIN_SERVINGS_DAY_QTY,0.000715091214713353,1.0,0.22192157545169022,0.6448360399855342
PM_BIOIMPED_FFM,0.015987022063189787,1.0,4.961416180264757,0.04283689872612036
Residual,0.045111778724580484,14.0,,
