,sum_sq,df,F,PR(>F)
UC_case_control,2.315432341245362e-05,1.0,0.0097999543920267,0.9222366076100131
A_SMK_CIG_CUR_FREQ,0.0070005772022553965,1.0,2.9629601382809216,0.10233347122624517
F1_SDC_AGE_CALC,0.00017396582254013222,1.0,0.07363018544293737,0.7892102533914547
SDC_GENDER,0.006630337566656341,1.0,2.806258019270188,0.11118183371684533
A_HS_DENTAL_VISIT_LAST,0.00035627642002964945,1.0,0.15079225616098993,0.7023339305655644
PM_BIOIMPED_BMI,0.002645079318893679,1.0,1.1195169138265153,0.30401604861158493
PM_BIOIMPED_WEIGHT,0.002650454336019722,1.0,1.121791863595216,0.3035396943721176
PM_WAIST_AVG,0.00026508542127771034,1.0,0.11219611094813929,0.7415294646491242
PM_WAIST_HIP_RATIO,0.003912211920215288,1.0,1.6558246037727886,0.2144714364101571
PM_STANDING_HEIGHT_AVG,0.0014136252230819825,1.0,0.598309977227444,0.4492634781568662
A_SLE_LIGHT_EXP,0.0015390235485096243,1.0,0.6513842065252193,0.43015437187901817
NUT_VEG_DAY_QTY,0.0027260144870007706,1.0,1.1537723287670316,0.2969497931633723
NUT_JUICE_DAY_QTY,0.0037333075804504984,1.0,1.5801042150143079,0.2248127014165932
REFINED_GRAIN_SERVINGS_DAY_QTY,0.005205611590899922,1.0,2.2032497026445763,0.15502127708491217
PM_BIOIMPED_FFM,0.0006497006250081616,1.0,0.2749826190182131,0.6064069541950871
SALT_SEASONING,0.0015274486171954814,1.0,0.6464851733317712,0.43186347374119527
NUTS_SEEDS_SERVINGS_PER_DAY,0.005954414573040152,1.0,2.5201769107028755,0.12980845258424664
Residual,0.04252854704744932,18.0,,
