,sum_sq,df,F,PR(>F)
Crohn_case_control,0.0039455175535040845,1.0,2.524061020136714,0.14658430237078407
A_SMK_CIG_CUR_FREQ,0.000334343126533478,1.0,0.21388891104648725,0.6547137323854504
F1_SDC_AGE_CALC,0.00808519862345544,1.0,5.17233402431643,0.049019118297367305
SDC_GENDER,0.0015579693934681294,1.0,0.9966778155951939,0.3441988773090699
A_HS_DENTAL_VISIT_LAST,0.010723373616805249,1.0,6.860050420128632,0.027848824900894624
PM_BIOIMPED_BMI,0.005750048023579672,1.0,3.6784710455392426,0.08734504358721407
PM_BIOIMPED_WEIGHT,0.0013321173309099174,1.0,0.8521937574988417,0.38001588697103744
PM_WAIST_AVG,0.003799390244486426,1.0,2.430579179119083,0.15341869964770835
PM_WAIST_HIP_RATIO,0.002621298894098651,1.0,1.676920269901172,0.22756604951377396
PM_STANDING_HEIGHT_AVG,0.004815766404374029,1.0,3.0807842313536535,0.11311122172002917
A_SLE_LIGHT_EXP,0.00034453746563229705,1.0,0.22041052287470797,0.6498932568386893
NUT_VEG_DAY_QTY,0.0008723308988578227,1.0,0.5580551571776383,0.4741081181470316
NUT_JUICE_DAY_QTY,0.004783801119817975,1.0,3.060335119760205,0.11415477628515165
REFINED_GRAIN_SERVINGS_DAY_QTY,0.009054934671117634,1.0,5.792702055768162,0.03945529845964288
PM_BIOIMPED_FFM,0.014191221045761407,1.0,9.078532127664268,0.014643046492615714
SALT_SEASONING,0.005436897219999539,1.0,3.4781394728057435,0.09505664100867692
NUTS_SEEDS_SERVINGS_PER_DAY,0.002054232142059152,1.0,1.3141513643700693,0.28120805643250324
Residual,0.014068462568156692,9.0,,
