,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.014077512458569419,1.0,3.114318398806203,0.079491371177216
A_SMK_CIG_CUR_FREQ,0.011795894133477036,1.0,2.6095640290408864,0.10816684173815673
F1_SDC_AGE_CALC,0.0032973391167750695,1.0,0.7294586958241304,0.3943198893135116
SDC_GENDER,0.006995689055198844,1.0,1.5476316004728974,0.21528243821484117
PM_BIOIMPED_WEIGHT,0.00015162606504555575,1.0,0.03354369925082257,0.8549098210877146
PM_WAIST_AVG,0.00028561618832097593,1.0,0.06318586134466155,0.801848194942691
PM_WAIST_HIP_RATIO,0.0009518242924442015,1.0,0.2105687290360181,0.6469370749725439
PM_STANDING_HEIGHT_AVG,0.0002333430845554755,1.0,0.05162166708102902,0.8205515721500999
A_SLE_LIGHT_EXP,0.00021222094680154152,1.0,0.046948891090044,0.8287327505371582
NUT_VEG_DAY_QTY,9.559748363768318e-05,1.0,0.021148693922212063,0.8845553969205052
REFINED_GRAIN_SERVINGS_DAY_QTY,0.02152586434085071,1.0,4.762090998975418,0.030533300012289898
PM_BIOIMPED_FFM,0.0076113721563289445,1.0,1.683837000065091,0.1962600780047091
Residual,0.7322812655130063,162.0,,
