,sum_sq,df,F,PR(>F)
UC_case_control,0.6971823919399673,1.0,0.4637549694180381,0.5045414930716308
A_SMK_CIG_CUR_FREQ,0.6038532940407602,1.0,0.4016738935870427,0.5341975818360639
F1_SDC_AGE_CALC,0.010165878046196616,1.0,0.006762185214263658,0.9353693588487006
SDC_GENDER,0.6098922860148261,1.0,0.40569093786501964,0.5321826346987208
A_HS_DENTAL_VISIT_LAST,0.5244479615229408,1.0,0.3488546916405292,0.562105541168344
PM_BIOIMPED_BMI,0.18968153429978327,1.0,0.1261732297822247,0.7265614607181083
PM_BIOIMPED_WEIGHT,0.02727565721243472,1.0,0.018143346307430478,0.8943459988964565
PM_WAIST_AVG,2.5288948914725,1.0,1.6821818603204883,0.21101427524480526
PM_WAIST_HIP_RATIO,1.7141887522275505,1.0,1.1402519076162856,0.2997117755569616
PM_STANDING_HEIGHT_AVG,0.33450924068330623,1.0,0.22251038534044867,0.642801242378594
A_SLE_LIGHT_EXP,1.7755949224103407,1.0,1.1810983445091594,0.291472212751778
NUT_VEG_DAY_QTY,0.14010225335212093,1.0,0.09319385711666933,0.7636574301469687
NUT_JUICE_DAY_QTY,0.01316620191699275,1.0,0.008757954357361984,0.9264734829642379
REFINED_GRAIN_SERVINGS_DAY_QTY,0.844169471114283,1.0,0.5615285064370297,0.46332662110177303
PM_BIOIMPED_FFM,1.3125194802146307,1.0,0.8730677057316272,0.362473919245368
SALT_SEASONING,0.6266292356681905,1.0,0.4168240985190764,0.5266713574296259
NUTS_SEEDS_SERVINGS_PER_DAY,4.592850910476537,1.0,3.0550935567992092,0.09752077585526672
Residual,27.06015866669287,18.0,,
