,sum_sq,df,F,PR(>F)
UC_case_control,2.8195499086980216,1.0,1.9793212400990792,0.17283160491237018
A_SMK_CIG_CUR_FREQ,10.541641634749732,1.0,7.400221974722148,0.01220195020679632
F1_SDC_AGE_CALC,0.8011441492668538,1.0,0.5624023983874883,0.46089685908187017
SDC_GENDER,10.56010585611147,1.0,7.413183839809351,0.012136010232881937
PM_BIOIMPED_WEIGHT,12.85426702372161,1.0,9.023682704629264,0.006331416620632363
PM_WAIST_AVG,5.922771854195043,1.0,4.157779968747777,0.05309643764514869
PM_WAIST_HIP_RATIO,5.268119913622466,1.0,3.6982149556050494,0.06693782126455432
PM_STANDING_HEIGHT_AVG,3.7209213559156966,1.0,2.612083102264744,0.11968761976129046
A_SLE_LIGHT_EXP,0.4016165190319973,1.0,0.2819343981258913,0.6005265599964013
NUT_VEG_DAY_QTY,0.38661099220728906,1.0,0.2714005331741138,0.6073736819016824
REFINED_GRAIN_SERVINGS_DAY_QTY,0.024182661741936073,1.0,0.01697620456381569,0.8974676655347127
PM_BIOIMPED_FFM,5.753955602432927,1.0,4.039271127405448,0.0563257256544751
Residual,32.763579042282345,23.0,,
