,sum_sq,df,F,PR(>F)
CASE_CONTROL,1439.9936208054457,1.0,5.070006486718344,0.028213934254858693
A_SMK_CIG_CUR_FREQ,3865.9705150219784,1.0,13.61151556883978,0.0005038385806609979
F1_SDC_AGE_CALC,32.69505626387145,1.0,0.11511450116614477,0.7356417248566334
SDC_GENDER,3511.532268488605,1.0,12.36359045090756,0.0008662612076689857
PM_BIOIMPED_WEIGHT,347.8959171881175,1.0,1.2248905351816775,0.27305200369878524
PM_WAIST_AVG,198.08658221545878,1.0,0.697433823493258,0.40713414519933877
PM_WAIST_HIP_RATIO,150.58199092400773,1.0,0.5301771200490827,0.46951317169071327
PM_STANDING_HEIGHT_AVG,1939.9086017548282,1.0,6.830133864785034,0.011443435919148441
A_SLE_LIGHT_EXP,529.0580290708867,1.0,1.8627357791623314,0.1776729292950598
NUT_VEG_DAY_QTY,152.33574792444716,1.0,0.5363518414088775,0.46694943525404986
REFINED_GRAIN_SERVINGS_DAY_QTY,546.9323179756741,1.0,1.9256685306574806,0.17063430822078315
PM_BIOIMPED_FFM,270.7095014281628,1.0,0.953128478089633,0.33304957665466406
Residual,16189.25668062369,57.0,,
