,sum_sq,df,F,PR(>F)
CASE_CONTROL,1.5686419190772247,1.0,4.831273607388693,0.032024526322766846
A_SMK_CIG_CUR_FREQ,6.698906186747278,1.0,20.63201822213426,2.9355176423811045e-05
F1_SDC_AGE_CALC,0.026212456096931045,1.0,0.08073196679611574,0.777337543443215
SDC_GENDER,6.774043160430725,1.0,20.86343322735702,2.6869194888945842e-05
PM_BIOIMPED_WEIGHT,0.9639046914299886,1.0,2.9687382691413244,0.09030965836833714
PM_WAIST_AVG,1.106493351777828,1.0,3.4078982986378414,0.07008004147413924
PM_WAIST_HIP_RATIO,1.3430961007134363,1.0,4.1366131203357455,0.04662887729076242
PM_STANDING_HEIGHT_AVG,1.9007916178887838,1.0,5.854264293825518,0.018752187298959694
A_SLE_LIGHT_EXP,0.4169427476806755,1.0,1.284145519869027,0.2618737074943958
NUT_VEG_DAY_QTY,0.5467288702083575,1.0,1.6838749040883172,0.19963744234695832
REFINED_GRAIN_SERVINGS_DAY_QTY,0.10724587175736891,1.0,0.3303074738864357,0.567739647239786
PM_BIOIMPED_FFM,0.19558848576890972,1.0,0.6023946432340195,0.4408745122288088
Residual,18.50704320505859,57.0,,
