,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.0034963965385005147,1.0,0.8162498434127827,0.3704453570159
A_SMK_CIG_CUR_FREQ,0.0226595813524584,1.0,5.2899834235265635,0.02549342502735974
F1_SDC_AGE_CALC,7.201219769279601e-05,1.0,0.016811578561899562,0.8973361007267413
SDC_GENDER,0.022688720435344957,1.0,5.296786076366834,0.02540348479934861
A_HS_DENTAL_VISIT_LAST,2.1522534381460145e-06,1.0,0.0005024534581608781,0.9822023325019849
PM_BIOIMPED_BMI,0.007659609562536275,1.0,1.7881710604554664,0.18696947996909538
PM_BIOIMPED_WEIGHT,0.002942246172431673,1.0,0.6868808932522225,0.4110154559038016
PM_WAIST_AVG,0.011658999155354568,1.0,2.721846944451358,0.10501198036920231
PM_WAIST_HIP_RATIO,0.01299511338342423,1.0,3.0337689525629368,0.08746133457805494
PM_STANDING_HEIGHT_AVG,0.011552939732856789,1.0,2.697086884757617,0.10656640841830212
A_SLE_LIGHT_EXP,0.0024116248698652356,1.0,0.5630049111197463,0.45643387171918626
NUT_VEG_DAY_QTY,0.0223654576089134,1.0,5.221318883629854,0.026420622844356135
NUT_JUICE_DAY_QTY,0.0010781761441735573,1.0,0.2517051767905285,0.6179945988632933
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0071067170143690956,1.0,1.6590957536657218,0.20342788111553142
PM_BIOIMPED_FFM,0.0016490970245668251,1.0,0.38498928060729704,0.5376551012450057
SALT_SEASONING,5.228424953044115e-05,1.0,0.012205998382117196,0.912453415031559
NUTS_SEEDS_SERVINGS_PER_DAY,0.011074486197195864,1.0,2.585389707603045,0.11390944967116508
Residual,0.22274138423336026,52.0,,
