,sum_sq,df,F,PR(>F)
UC_case_control,0.0031227445371175395,1.0,0.5039179136795892,0.48687890454229543
A_SMK_CIG_CUR_FREQ,0.027095649292314054,1.0,4.372430372988529,0.050977123352074265
F1_SDC_AGE_CALC,0.0010421865246257552,1.0,0.16817784897613122,0.6865760741502265
SDC_GENDER,0.027189445226694628,1.0,4.387566241774105,0.0506177288812054
A_HS_DENTAL_VISIT_LAST,0.003598932494874797,1.0,0.580760460144782,0.45588484727466294
PM_BIOIMPED_BMI,0.015069359098304726,1.0,2.431745506891724,0.13630917104303256
PM_BIOIMPED_WEIGHT,0.009237783579916631,1.0,1.4907029932432603,0.2378599585959855
PM_WAIST_AVG,0.0037243858634271915,1.0,0.6010048954463494,0.44826055534979414
PM_WAIST_HIP_RATIO,0.010353549961701158,1.0,1.6707544385599091,0.21250440715666202
PM_STANDING_HEIGHT_AVG,0.018702079065810222,1.0,3.0179582582867805,0.09942767047030339
A_SLE_LIGHT_EXP,0.00011974774865472986,1.0,0.01932371827175436,0.8909858907274116
NUT_VEG_DAY_QTY,0.012339850146493957,1.0,1.99128409866015,0.17525752673118603
NUT_JUICE_DAY_QTY,0.0005961264494788198,1.0,0.09619704498398453,0.760004297047642
REFINED_GRAIN_SERVINGS_DAY_QTY,0.00636564121821109,1.0,1.0272248029852182,0.32424219695347395
PM_BIOIMPED_FFM,0.00014411921866574714,1.0,0.02325654728651351,0.8804882488082624
SALT_SEASONING,0.005603056313058721,1.0,0.9041663235482034,0.35426126088748566
NUTS_SEEDS_SERVINGS_PER_DAY,0.004416360056396926,1.0,0.7126689100644945,0.4096392801778497
Residual,0.11154475787073499,18.0,,
