,sum_sq,df,F,PR(>F)
UC_case_control,0.004309866869917678,1.0,0.8004733023805242,0.3802196123752789
A_SMK_CIG_CUR_FREQ,0.01475768521142359,1.0,2.740950793430449,0.11138900197231108
F1_SDC_AGE_CALC,0.0075087561598894,1.0,1.3946042932392428,0.24969748905395364
SDC_GENDER,0.014802775408471396,1.0,2.749325413813221,0.11087345771806462
PM_BIOIMPED_WEIGHT,0.00474975345899477,1.0,0.8821736150025171,0.35736696904251863
PM_WAIST_AVG,0.009162337155950055,1.0,1.7017245548670994,0.2049658595219144
PM_WAIST_HIP_RATIO,0.017086593423235562,1.0,3.17349984970463,0.08805316219782958
PM_STANDING_HEIGHT_AVG,0.005217941193202436,1.0,0.9691303106608273,0.335140518136841
A_SLE_LIGHT_EXP,0.001451103096894319,1.0,0.2695139602044803,0.608617884445094
NUT_VEG_DAY_QTY,0.0009028719158880678,1.0,0.16769076306789893,0.6859610255834505
REFINED_GRAIN_SERVINGS_DAY_QTY,0.02185908312668583,1.0,4.0598962765090745,0.055748038506506996
PM_BIOIMPED_FFM,0.0009150881011743362,1.0,0.16995968006086823,0.6839649382585574
Residual,0.1238354080183729,23.0,,
