,sum_sq,df,F,PR(>F)
Crohn_case_control,1057.835624400324,1.0,2.424321797027625,0.12305420232162156
A_SMK_CIG_CUR_FREQ,22.378811397901835,1.0,0.05128721231548559,0.8213635918213871
F1_SDC_AGE_CALC,9.961879629267655,1.0,0.02283039195081929,0.8802447991678364
SDC_GENDER,1124.0303692285427,1.0,2.576025293330943,0.11207674545263455
A_HS_DENTAL_VISIT_LAST,23.855254062345285,1.0,0.05467088748288308,0.8156693119088334
PM_BIOIMPED_BMI,42.60818438890488,1.0,0.09764839429032436,0.7554094044529984
PM_BIOIMPED_WEIGHT,302.00452951852384,1.0,0.6921265902042976,0.4076939065545341
PM_WAIST_AVG,681.6855185604961,1.0,1.5622701894740467,0.2146469828311058
PM_WAIST_HIP_RATIO,434.9921685621664,1.0,0.9969044069388329,0.3207983105393233
PM_STANDING_HEIGHT_AVG,225.00495405254253,1.0,0.5156608474572859,0.4746006943623565
A_SLE_LIGHT_EXP,741.6662212951295,1.0,1.6997324961750893,0.19572326783019808
NUT_VEG_DAY_QTY,6.940765630283739,1.0,0.015906676819563443,0.8999233199837126
NUT_JUICE_DAY_QTY,1973.1064672691516,1.0,4.52191711653544,0.03626305892394782
REFINED_GRAIN_SERVINGS_DAY_QTY,299.22328841024427,1.0,0.6857526098938748,0.4098530732254114
PM_BIOIMPED_FFM,682.9184239837824,1.0,1.565095731951916,0.21423648457048688
SALT_SEASONING,116.9567744942975,1.0,0.2680386736618995,0.6059495867502753
NUTS_SEEDS_SERVINGS_PER_DAY,1.2811820814736479,1.0,0.00293618174169408,0.9569093678397642
Residual,38398.17596053555,88.0,,
