,sum_sq,df,F,PR(>F)
Crohn_case_control,1.0977579745152954,1.0,3.4026211998666462,0.068457168752916
A_SMK_CIG_CUR_FREQ,0.12061958371400262,1.0,0.37387362441668737,0.5424767293236293
F1_SDC_AGE_CALC,0.004684273986590027,1.0,0.014519420803836754,0.9043644979348825
SDC_GENDER,0.9403443825696446,1.0,2.9147005128518915,0.09130183603033992
A_HS_DENTAL_VISIT_LAST,0.5932768916627663,1.0,1.8389267724099683,0.17854626419997216
PM_BIOIMPED_BMI,0.009819075093324782,1.0,0.030435299812220994,0.8619069340162648
PM_BIOIMPED_WEIGHT,0.12283325626647744,1.0,0.3807351451994806,0.5388032965249281
PM_WAIST_AVG,0.4259890152922914,1.0,1.320399658206875,0.253633973401251
PM_WAIST_HIP_RATIO,0.56870047977491,1.0,1.7627494892130977,0.18771576194109454
PM_STANDING_HEIGHT_AVG,0.1407613651669758,1.0,0.436305284369081,0.5106365628779523
A_SLE_LIGHT_EXP,0.1523549876892098,1.0,0.4722409884980563,0.4937651150503243
NUT_VEG_DAY_QTY,0.04135222265190956,1.0,0.1281757479549357,0.7211883732762864
NUT_JUICE_DAY_QTY,0.11142442027167285,1.0,0.34537220717221245,0.5582496164892683
REFINED_GRAIN_SERVINGS_DAY_QTY,0.01481805310263898,1.0,0.04593018023854639,0.8307985913488654
PM_BIOIMPED_FFM,0.6775227158789201,1.0,2.1000559412549444,0.15084803472707425
SALT_SEASONING,0.08668580461215195,1.0,0.26869215560109455,0.6055113595033457
NUTS_SEEDS_SERVINGS_PER_DAY,0.03043527914608218,1.0,0.094337484628198,0.7594593692418885
Residual,28.39067180358836,88.0,,
