,sum_sq,df,F,PR(>F)
Both_case_control,1.0574601216180524,1.0,0.05308805423708137,0.8191158580141493
A_SMK_CIG_CUR_FREQ,2.413906667629396,1.0,0.12118623243992979,0.729836632383986
F1_SDC_AGE_CALC,23.162996739827108,1.0,1.1628603311638,0.28824923067520286
SDC_GENDER,1.0677244228125276,1.0,0.05360335667485486,0.8182560204905329
PM_BIOIMPED_WEIGHT,3.5427345246795547,1.0,0.1778571869982072,0.6758003598724868
PM_WAIST_AVG,12.564576295100407,1.0,0.6307839834183021,0.43242023610861746
PM_WAIST_HIP_RATIO,0.005744351719762534,1.0,0.00028838577400819786,0.9865474744310629
PM_STANDING_HEIGHT_AVG,0.06005098294814977,1.0,0.0030147612894029347,0.9565249143261757
A_SLE_LIGHT_EXP,4.442069707115619,1.0,0.22300683753011266,0.6396895932704728
NUT_VEG_DAY_QTY,1.4565049134538406,1.0,0.0731214447346711,0.7884332447833136
REFINED_GRAIN_SERVINGS_DAY_QTY,0.015801887620890194,1.0,0.0007933078987247949,0.9776899671184857
PM_BIOIMPED_FFM,0.0038613909358717812,1.0,0.00019385481044946476,0.988970337120043
Residual,697.164452314397,35.0,,
