,sum_sq,df,F,PR(>F)
UC_case_control,11.407458802316786,1.0,1.0727487024539266,0.30410546180757014
A_SMK_CIG_CUR_FREQ,15.462463050570697,1.0,1.4540782010865305,0.2321798884001728
F1_SDC_AGE_CALC,0.0015243301837312183,1.0,0.0001433468448184898,0.9904834703339698
SDC_GENDER,2.871209853284148,1.0,0.2700063789805624,0.6050658855133833
A_HS_DENTAL_VISIT_LAST,15.741616805512004,1.0,1.4803296067315468,0.22805606432943973
PM_BIOIMPED_BMI,27.69197381682172,1.0,2.6041320416033753,0.11135698526410082
PM_BIOIMPED_WEIGHT,10.249250847823834,1.0,0.9638317120983012,0.3298085833039075
PM_WAIST_AVG,21.5677200698899,1.0,2.0282119024760337,0.15911318744237363
PM_WAIST_HIP_RATIO,31.59003566902176,1.0,2.970702797325367,0.08946696790178935
PM_STANDING_HEIGHT_AVG,23.044955197141004,1.0,2.1671299641968558,0.14574185203919257
A_SLE_LIGHT_EXP,1.406752082603969,1.0,0.1322898901007891,0.7172320399177263
NUT_VEG_DAY_QTY,11.681669094032655,1.0,1.098535228597503,0.29841088056231757
NUT_JUICE_DAY_QTY,0.4661716671889814,1.0,0.04383842709966213,0.8347994374265946
REFINED_GRAIN_SERVINGS_DAY_QTY,0.006922762646009682,1.0,0.0006510113053746155,0.9797212350514051
PM_BIOIMPED_FFM,0.6709253562099794,1.0,0.06309330743947288,0.8024524061450946
SALT_SEASONING,0.3550856426923533,1.0,0.033391982303795704,0.8555663236447767
NUTS_SEEDS_SERVINGS_PER_DAY,4.770507144248858,1.0,0.4486148438248845,0.5053301124318421
Residual,701.8347160249712,66.0,,
