,sum_sq,df,F,PR(>F)
Both_case_control,1.7424103841343863,1.0,0.09654701523683853,0.7588118073884578
A_SMK_CIG_CUR_FREQ,1.3960118481542232,1.0,0.07735306125457396,0.7834020095238428
F1_SDC_AGE_CALC,5.1268159044747215,1.0,0.28407703360404846,0.599154073456919
SDC_GENDER,3.4484867485724586,1.0,0.19108076127763843,0.6660954708738149
A_HS_DENTAL_VISIT_LAST,14.691504825983115,1.0,0.8140567533353731,0.3762757676641926
PM_BIOIMPED_BMI,5.798491239430217,1.0,0.32129458544409495,0.5763212106350524
PM_BIOIMPED_WEIGHT,3.9890169862216123,1.0,0.22103155907216065,0.6426824574712717
PM_WAIST_AVG,3.2479134507158025,1.0,0.1799669884141406,0.6753432883603527
PM_WAIST_HIP_RATIO,1.2816625497636056,1.0,0.07101696296534953,0.7922364030540213
PM_STANDING_HEIGHT_AVG,0.9589137063972417,1.0,0.05313343920889271,0.8197358634520803
A_SLE_LIGHT_EXP,2.7209119656174523,1.0,0.1507658192321147,0.7013753676074568
NUT_VEG_DAY_QTY,20.021866478185615,1.0,1.1094122633455583,0.3031499605920092
NUT_JUICE_DAY_QTY,16.880388745568485,1.0,0.9353428814830004,0.34353876051299626
REFINED_GRAIN_SERVINGS_DAY_QTY,4.471692600998544,1.0,0.24777663035883676,0.6233709190103551
PM_BIOIMPED_FFM,0.023546574005474444,1.0,0.0013047164204150839,0.9714976621676118
SALT_SEASONING,44.15879339698191,1.0,2.4468401576112253,0.13141772840089375
NUTS_SEEDS_SERVINGS_PER_DAY,0.6065030595692642,1.0,0.033606353971836006,0.8561531309481067
Residual,415.0872892008336,23.0,,
