,sum_sq,df,F,PR(>F)
CASE_CONTROL,6.287558664814183,1.0,0.4354839605721034,0.5102473708177764
A_SMK_CIG_CUR_FREQ,0.16050600115374739,1.0,0.011116840860536164,0.9161599474437906
F1_SDC_AGE_CALC,15.469514080639712,1.0,1.0714373605231395,0.30216368069352173
SDC_GENDER,92.01388937310311,1.0,6.372993892857226,0.012548806239147944
PM_BIOIMPED_WEIGHT,17.42061747849165,1.0,1.2065731549511283,0.2736417174856196
PM_WAIST_AVG,15.66221224786051,1.0,1.084783869960245,0.29918168664151557
PM_WAIST_HIP_RATIO,0.038951080704955794,1.0,0.002697799225139967,0.9586402191500323
PM_STANDING_HEIGHT_AVG,4.505920061472453,1.0,0.31208550392894185,0.5771746034594434
A_SLE_LIGHT_EXP,0.6472332343157073,1.0,0.04482816102711088,0.8325864553892174
NUT_VEG_DAY_QTY,0.19180344260267926,1.0,0.013284539721817031,0.9083829092375288
REFINED_GRAIN_SERVINGS_DAY_QTY,27.45767012042136,1.0,1.901751628821864,0.16978337124952586
PM_BIOIMPED_FFM,16.232771471172164,1.0,1.1243014957279636,0.2905724072017615
Residual,2338.9713420484286,162.0,,
