,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.002754112947968412,1.0,0.6915729518626218,0.4095067496641014
A_SMK_CIG_CUR_FREQ,0.0004685567834055143,1.0,0.11765719269212889,0.7329993657981417
F1_SDC_AGE_CALC,0.001204268757612924,1.0,0.30239852731989486,0.5847830066474524
SDC_GENDER,0.02950233893348104,1.0,7.408200029751663,0.008861894767684293
A_HS_DENTAL_VISIT_LAST,0.005025045872271203,1.0,1.2618167347476328,0.2665675610317763
PM_BIOIMPED_BMI,0.0073606718113421975,1.0,1.8483052904627273,0.179961552690853
PM_BIOIMPED_WEIGHT,0.011560203439805178,1.0,2.90283084537105,0.09451090579804758
PM_WAIST_AVG,0.00019622520674206172,1.0,0.04927323171570133,0.8252192560813036
PM_WAIST_HIP_RATIO,0.002544433237046408,1.0,0.6389212199374666,0.42780889496756513
PM_STANDING_HEIGHT_AVG,0.010504043613419091,1.0,2.637623287594114,0.11052495645607134
A_SLE_LIGHT_EXP,0.0021597366526105734,1.0,0.5423217857472281,0.4648461602779397
NUT_VEG_DAY_QTY,0.0004562769491447109,1.0,0.11457365857839835,0.736385593513492
NUT_JUICE_DAY_QTY,0.008093080639410813,1.0,2.0322171868761587,0.16008789251488814
REFINED_GRAIN_SERVINGS_DAY_QTY,0.018811052749584615,1.0,4.723559099952689,0.03442029448951277
PM_BIOIMPED_FFM,0.005953360872959907,1.0,1.4949217516490683,0.22707467193185615
SALT_SEASONING,8.3351283374292e-05,1.0,0.02092996698890583,0.8855401180115472
NUTS_SEEDS_SERVINGS_PER_DAY,0.005569335637520134,1.0,1.3984908968946435,0.24246043173851253
Residual,0.20310187084108344,51.0,,
