,sum_sq,df,F,PR(>F)
Crohn_case_control,1.7426190243104238e-05,1.0,0.004229350833101025,0.9490668723733556
A_SMK_CIG_CUR_FREQ,0.00238447137167751,1.0,0.5787131806563679,0.4594388500360993
F1_SDC_AGE_CALC,2.0601801358126737e-06,1.0,0.0005000074285993432,0.9824756946857203
SDC_GENDER,0.017409149173167982,1.0,4.225214951285987,0.058976717324563575
PM_BIOIMPED_WEIGHT,0.0026858855759442947,1.0,0.6518666581600728,0.43295001982213355
PM_WAIST_AVG,0.00042839358950501414,1.0,0.10397147967468864,0.7518796373376939
PM_WAIST_HIP_RATIO,0.0022467506236004465,1.0,0.5452882408106943,0.4724476910029436
PM_STANDING_HEIGHT_AVG,0.003273483504423671,1.0,0.7944771630193375,0.38781227803187623
A_SLE_LIGHT_EXP,0.00402016308082686,1.0,0.9756969158433947,0.34002852819692997
NUT_VEG_DAY_QTY,0.003684450799116514,1.0,0.8942192664819257,0.36037251271622583
REFINED_GRAIN_SERVINGS_DAY_QTY,0.015460205523781374,1.0,3.752204710251693,0.0731832458770833
PM_BIOIMPED_FFM,0.0037500538167793973,1.0,0.9101411733092801,0.35626002535638374
Residual,0.05768418677733085,14.0,,
