,sum_sq,df,F,PR(>F)
UC_case_control,0.18708307148129588,1.0,2.1609760439223877,0.14937732476945603
A_SMK_CIG_CUR_FREQ,0.1218174964211665,1.0,1.4071005431566297,0.24253660756471054
F1_SDC_AGE_CALC,0.21754234649975338,1.0,2.51280778962211,0.120799691488407
SDC_GENDER,0.3994011620619601,1.0,4.613439026293458,0.03783352428671788
PM_BIOIMPED_WEIGHT,0.09936961269064452,1.0,1.147807499727722,0.29043045489928043
PM_WAIST_AVG,0.03923615975393214,1.0,0.4532125788422071,0.5046845625777129
PM_WAIST_HIP_RATIO,0.14075181679219198,1.0,1.625808801502861,0.20964028656215872
PM_STANDING_HEIGHT_AVG,0.003399994049203574,1.0,0.03927295843302511,0.8439126401139236
A_SLE_LIGHT_EXP,0.00046568566131583567,1.0,0.005379084008690153,0.9418993160445955
NUT_VEG_DAY_QTY,0.16087229239839945,1.0,1.8582182089017882,0.18045498261943263
REFINED_GRAIN_SERVINGS_DAY_QTY,0.053555587431819776,1.0,0.6186147177401033,0.43619766236371516
PM_BIOIMPED_FFM,0.03528206560298415,1.0,0.4075392708942642,0.5268595063591863
Residual,3.462936519031861,40.0,,
