,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.03349341285653193,1.0,7.7927636329902805,0.005876549484560524
A_SMK_CIG_CUR_FREQ,0.005209009074724132,1.0,1.211957009436563,0.27257795474851365
F1_SDC_AGE_CALC,0.008429989084596157,1.0,1.9613681247217074,0.16327950033853775
SDC_GENDER,0.1982182405326275,1.0,46.118557784317765,2.0063896035981063e-10
PM_BIOIMPED_WEIGHT,5.888462119753994e-05,1.0,0.013700423321331008,0.9069663624103623
PM_WAIST_AVG,0.001132548025442973,1.0,0.26350491970141987,0.6084217390851893
PM_WAIST_HIP_RATIO,0.011440841038277909,1.0,2.6618896783021495,0.10472102672242888
PM_STANDING_HEIGHT_AVG,0.001733416082758125,1.0,0.4033062222837533,0.5262826527266338
A_SLE_LIGHT_EXP,3.1278873630134565e-05,1.0,0.007277516625430278,0.9321215821002514
NUT_VEG_DAY_QTY,0.0006801710864139524,1.0,0.1582523861967218,0.6912943407962784
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0011906903867737323,1.0,0.2770326447157479,0.5993726157746151
PM_BIOIMPED_FFM,0.004552670293522413,1.0,1.0592495798599306,0.30492058061241895
Residual,0.6962783857305453,162.0,,
