,sum_sq,df,F,PR(>F)
UC_case_control,0.0038824149247022287,1.0,0.8113433038946404,0.37425030904455425
A_SMK_CIG_CUR_FREQ,0.006278810376943858,1.0,1.3121397003047786,0.2602470959662699
F1_SDC_AGE_CALC,0.02846805612370987,1.0,5.949226746453516,0.020267565179936036
SDC_GENDER,0.012241173738815099,1.0,2.558148610445158,0.11925887991339167
A_HS_DENTAL_VISIT_LAST,0.001844181363314022,1.0,0.3853952319140336,0.5389942885251288
PM_BIOIMPED_BMI,0.010090198816489837,1.0,2.108639958247777,0.15591166873116805
PM_BIOIMPED_WEIGHT,0.0046581923953590825,1.0,0.973464526983137,0.3309969245799569
PM_WAIST_AVG,0.003782625660858028,1.0,0.7904894403610363,0.3803876826683412
PM_WAIST_HIP_RATIO,0.007696039756776065,1.0,1.6083109209781605,0.2136037759221771
PM_STANDING_HEIGHT_AVG,0.011795146658846156,1.0,2.464938304049008,0.12595241445933653
A_SLE_LIGHT_EXP,0.0008180663208855872,1.0,0.17095870597683527,0.6819358959058645
NUT_VEG_DAY_QTY,0.013613023776593566,1.0,2.8448365002472857,0.10110084396950904
NUT_JUICE_DAY_QTY,0.0009714912813151618,1.0,0.20302130534065335,0.6552396853592207
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0014459657937083404,1.0,0.3021765285625519,0.5862225109677806
PM_BIOIMPED_FFM,0.014008492428169626,1.0,2.9274811553342452,0.09646942249849506
SALT_SEASONING,0.005388489734055659,1.0,1.1260813562235068,0.2963176660077238
NUTS_SEEDS_SERVINGS_PER_DAY,0.008295473644226647,1.0,1.7335800331526827,0.1970256434209883
Residual,0.15791058100827188,33.0,,
