,sum_sq,df,F,PR(>F)
Crohn_case_control,20.62374503305406,1.0,1.6993340971327622,0.21202846249095875
A_SMK_CIG_CUR_FREQ,1.9135072362717305,1.0,0.1576671980038197,0.6969059488390196
F1_SDC_AGE_CALC,37.5934064856654,1.0,3.0975827797558324,0.09877967365399087
SDC_GENDER,38.67010002701149,1.0,3.186299064991109,0.09449020447542117
PM_BIOIMPED_WEIGHT,24.815856561859096,1.0,2.0447513842677756,0.1732304356700615
PM_WAIST_AVG,3.145414880339179,1.0,0.25917265497718406,0.6180956010459482
PM_WAIST_HIP_RATIO,14.382475080330737,1.0,1.1850723651789152,0.29350761739383285
PM_STANDING_HEIGHT_AVG,24.929916749267523,1.0,2.054149598087712,0.17230584012960828
A_SLE_LIGHT_EXP,0.05333261053684039,1.0,0.004394445501003849,0.9480219425471279
NUT_VEG_DAY_QTY,0.704662454771582,1.0,0.05806205102145297,0.8128481612942677
REFINED_GRAIN_SERVINGS_DAY_QTY,8.830369692364373,1.0,0.7275957050706613,0.407078455670986
PM_BIOIMPED_FFM,25.414538757947252,1.0,2.094080983112621,0.16844556591533527
Residual,182.04552949168664,15.0,,
