,sum_sq,df,F,PR(>F)
UC_case_control,12.063872323582942,1.0,2.696209323496573,0.11419132867204393
A_SMK_CIG_CUR_FREQ,29.332449629357324,1.0,6.555641675439941,0.01748958444220446
F1_SDC_AGE_CALC,0.0005138087459518683,1.0,0.00011483343773635593,0.9915424132092883
SDC_GENDER,29.374478712717945,1.0,6.565034945144346,0.017418337492779646
PM_BIOIMPED_WEIGHT,9.730378582936256,1.0,2.174686265966078,0.15385597805134363
PM_WAIST_AVG,4.966424259008811,1.0,1.1099685932022663,0.303031559192173
PM_WAIST_HIP_RATIO,4.039424382978569,1.0,0.9027892032358286,0.3519131625771744
PM_STANDING_HEIGHT_AVG,4.375627839765699,1.0,0.9779288325743474,0.3330006914627889
A_SLE_LIGHT_EXP,1.038135211783724,1.0,0.2320175282019281,0.6345834366453511
NUT_VEG_DAY_QTY,2.520287484431106,1.0,0.5632704351596376,0.4605552406865514
REFINED_GRAIN_SERVINGS_DAY_QTY,5.671383059620354,1.0,1.2675230201646777,0.271842870140267
PM_BIOIMPED_FFM,3.2588377238119866,1.0,0.7283323645201389,0.402225151032508
Residual,102.91080185219913,23.0,,
