,sum_sq,df,F,PR(>F)
UC_case_control,0.008899052234181033,1.0,1.6272259476677706,0.21830444450584385
A_SMK_CIG_CUR_FREQ,0.022979038229212805,1.0,4.2018055715419536,0.05523896237813832
F1_SDC_AGE_CALC,0.0001666903616901644,1.0,0.030479974117527283,0.8633543014317392
SDC_GENDER,0.023078620732068417,1.0,4.220014615417205,0.05476505774161929
A_HS_DENTAL_VISIT_LAST,0.008676939512665658,1.0,1.586611781771689,0.22389927877488836
PM_BIOIMPED_BMI,0.013789855629328761,1.0,2.5215281699828433,0.1297120521971124
PM_BIOIMPED_WEIGHT,0.013987565649180689,1.0,2.5576802079696814,0.12716458947369258
PM_WAIST_AVG,0.001672175916855145,1.0,0.3057638015114142,0.5870938894319475
PM_WAIST_HIP_RATIO,0.012971867673439124,1.0,2.371955924346302,0.14092764167484634
PM_STANDING_HEIGHT_AVG,0.018482742560996326,1.0,3.3796406052991887,0.08256688506877703
A_SLE_LIGHT_EXP,0.005161888370424403,1.0,0.9438711532736713,0.3441595592644925
NUT_VEG_DAY_QTY,0.018943618344613018,1.0,3.4639135159437924,0.07913559174169886
NUT_JUICE_DAY_QTY,0.0005543852978708931,1.0,0.10137148518311435,0.7538545080985906
REFINED_GRAIN_SERVINGS_DAY_QTY,0.02366945306533856,1.0,4.328050581283939,0.052047976269169065
PM_BIOIMPED_FFM,0.008582318786691249,1.0,1.569310017893809,0.22633835974170521
SALT_SEASONING,0.03635682081994355,1.0,6.647984600616794,0.018940471177075292
NUTS_SEEDS_SERVINGS_PER_DAY,0.001198531366717902,1.0,0.21915607276987378,0.6453024334202144
Residual,0.09843927356544527,18.0,,
