,sum_sq,df,F,PR(>F)
UC_case_control,16.886330687793286,1.0,0.4778954020014812,0.49819694981816265
A_SMK_CIG_CUR_FREQ,54.95842687796056,1.0,1.5553633285884805,0.2283293084345096
F1_SDC_AGE_CALC,14.882214667092661,1.0,0.42117746551912427,0.524544872496363
SDC_GENDER,50.01380540176449,1.0,1.4154269556842094,0.24961423487022805
A_HS_DENTAL_VISIT_LAST,21.955253853718446,1.0,0.6213496028507828,0.4408044871948831
PM_BIOIMPED_BMI,23.10748387096966,1.0,0.6539585477703852,0.4292605532771514
PM_BIOIMPED_WEIGHT,1.4409369879533984,1.0,0.040779561519222005,0.8422287450091539
PM_WAIST_AVG,56.333541338467114,1.0,1.5942800648559323,0.22282902040667396
PM_WAIST_HIP_RATIO,80.60518074098165,1.0,2.281185058247097,0.14830729601974305
PM_STANDING_HEIGHT_AVG,33.25043865972448,1.0,0.9410115225033037,0.34487325252632317
A_SLE_LIGHT_EXP,55.87359138314812,1.0,1.5812631476308876,0.2246496812924458
NUT_VEG_DAY_QTY,52.69918871690541,1.0,1.4914252505562284,0.237750694832036
NUT_JUICE_DAY_QTY,4.490871606259916,1.0,0.12709492259097066,0.7256080748990164
REFINED_GRAIN_SERVINGS_DAY_QTY,15.240640140832726,1.0,0.4313211663045412,0.5196505318060083
PM_BIOIMPED_FFM,70.6502837733957,1.0,1.9994542562057265,0.17441930261897692
SALT_SEASONING,0.5927946608651611,1.0,0.01677651871186403,0.8983792747885404
NUTS_SEEDS_SERVINGS_PER_DAY,39.54306953828124,1.0,1.1190975388768112,0.3041039736325917
Residual,636.0261076111736,18.0,,
