,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.06550220292945928,1.0,0.5136469480501445,0.4768337675529779
A_SMK_CIG_CUR_FREQ,0.01451369389623964,1.0,0.11381166191869699,0.7372302135259972
F1_SDC_AGE_CALC,0.0010797445108690878,1.0,0.008467004892630432,0.9270455613469692
SDC_GENDER,1.1023253832853002,1.0,8.644076741853395,0.004921247781713922
A_HS_DENTAL_VISIT_LAST,0.09250295218652733,1.0,0.7253780323603299,0.39836710389626695
PM_BIOIMPED_BMI,0.44060607531234863,1.0,3.4550893825703013,0.06883223592528462
PM_BIOIMPED_WEIGHT,0.5367627458359521,1.0,4.209118684490146,0.04535918749713369
PM_WAIST_AVG,0.015814425565735115,1.0,0.12401157615651322,0.7261747441913435
PM_WAIST_HIP_RATIO,0.2262669865563025,1.0,1.774312036715912,0.1887715572503344
PM_STANDING_HEIGHT_AVG,0.5301027907315063,1.0,4.156893485022678,0.04666482185624424
A_SLE_LIGHT_EXP,0.07588086697491757,1.0,0.595033052232449,0.4440388908267716
NUT_VEG_DAY_QTY,0.030166827441992398,1.0,0.2365584385707111,0.6287864543147003
NUT_JUICE_DAY_QTY,0.18818906669307103,1.0,1.4757173872060334,0.23004030951580967
REFINED_GRAIN_SERVINGS_DAY_QTY,0.15516259786074035,1.0,1.2167345719430307,0.27518033516841883
PM_BIOIMPED_FFM,0.17583266238174147,1.0,1.3788224878051216,0.2457558903102405
SALT_SEASONING,0.0006116684978663976,1.0,0.004796505202822574,0.9450560474385908
NUTS_SEEDS_SERVINGS_PER_DAY,0.10736013193502618,1.0,0.8418831984944706,0.3631776138007422
Residual,6.503713031068759,51.0,,
