,sum_sq,df,F,PR(>F)
UC_case_control,0.013770572249530386,1.0,0.15389105570898348,0.6994505613395388
A_SMK_CIG_CUR_FREQ,0.6330523149555711,1.0,7.074585376860505,0.015954522212713866
F1_SDC_AGE_CALC,0.01116153504242997,1.0,0.1247341344925545,0.7280579564131615
SDC_GENDER,0.6187174303884304,1.0,6.914387929758849,0.017008506546012242
A_HS_DENTAL_VISIT_LAST,0.005237728441079787,1.0,0.05853348319219086,0.8115639521344695
PM_BIOIMPED_BMI,0.3448200416864242,1.0,3.8534869345425466,0.06528540453627063
PM_BIOIMPED_WEIGHT,0.35649338345963455,1.0,3.983940691770565,0.061293089361446014
PM_WAIST_AVG,0.0027690900408530155,1.0,0.030945568711179393,0.8623258135079854
PM_WAIST_HIP_RATIO,0.06653269327249058,1.0,0.7435265740110929,0.3998761351883331
PM_STANDING_HEIGHT_AVG,0.33652295963480205,1.0,3.760764083734968,0.06830696809038155
A_SLE_LIGHT_EXP,0.04284592062515549,1.0,0.4788184425707761,0.4977876768343389
NUT_VEG_DAY_QTY,0.030627753726654564,1.0,0.34227607027372164,0.56578090836088
NUT_JUICE_DAY_QTY,0.01355310519853434,1.0,0.15146078386165032,0.7017089947686052
REFINED_GRAIN_SERVINGS_DAY_QTY,0.07620275413947245,1.0,0.8515929527079344,0.36830731279528717
PM_BIOIMPED_FFM,0.011244067104269064,1.0,0.12565645971594455,0.7270977261889668
SALT_SEASONING,0.00018304565144724446,1.0,0.0020456004321182594,0.9644233193870865
NUTS_SEEDS_SERVINGS_PER_DAY,0.014986205131148225,1.0,0.1674761866764422,0.6871930798710753
Residual,1.6106868547336723,18.0,,
