,sum_sq,df,F,PR(>F)
UC_case_control,0.02010774467317716,1.0,0.22092265362619376,0.6427639720083894
A_SMK_CIG_CUR_FREQ,0.15990529333737996,1.0,1.7568704152133559,0.19803152184281017
F1_SDC_AGE_CALC,0.0512904602616966,1.0,0.5635253864068707,0.4604549825766786
SDC_GENDER,1.1144488358534523,1.0,12.244386337160744,0.0019318333078986733
PM_BIOIMPED_WEIGHT,0.020374471007394944,1.0,0.22385316077680345,0.640579067549298
PM_WAIST_AVG,0.018149568017630506,1.0,0.1994082774470836,0.6593751196686459
PM_WAIST_HIP_RATIO,0.040400926287658366,1.0,0.4438826924399895,0.511882333789871
PM_STANDING_HEIGHT_AVG,0.010547805290539142,1.0,0.11588814024611929,0.7366273523524491
A_SLE_LIGHT_EXP,0.05304959058924457,1.0,0.582852851836379,0.4529568316986994
NUT_VEG_DAY_QTY,0.03228076176621684,1.0,0.3546669040402514,0.5572983880833973
REFINED_GRAIN_SERVINGS_DAY_QTY,0.1666867249511377,1.0,1.831377620862054,0.1891172103020914
PM_BIOIMPED_FFM,0.050686631329377944,1.0,0.5568911520741631,0.46307554426863995
Residual,2.093393863834346,23.0,,
