,sum_sq,df,F,PR(>F)
Crohn_case_control,0.0013147064450931187,1.0,0.25540943243964237,0.6254355633580728
A_SMK_CIG_CUR_FREQ,6.7179379288373395e-06,1.0,0.0013051010132133047,0.9719703348847775
F1_SDC_AGE_CALC,0.0026516137157074652,1.0,0.5151318430861168,0.49113432920452704
SDC_GENDER,0.0007641806043831992,1.0,0.1484581863695599,0.7089614263013169
A_HS_DENTAL_VISIT_LAST,0.016085268152709088,1.0,3.124902311733853,0.11090119444598051
PM_BIOIMPED_BMI,0.0008907739410514476,1.0,0.1730516097833987,0.6871580685035661
PM_BIOIMPED_WEIGHT,4.34424811096399e-09,1.0,8.439617441136926e-07,0.9992870450210001
PM_WAIST_AVG,0.0026514475779808163,1.0,0.5150995673316101,0.49114754024382384
PM_WAIST_HIP_RATIO,9.957797845745056e-05,1.0,0.019345120772951706,0.8924441806984386
PM_STANDING_HEIGHT_AVG,0.0003177757525293719,1.0,0.06173463657954341,0.8093516960830196
A_SLE_LIGHT_EXP,0.0006800308117756795,1.0,0.13211031582399646,0.7246450609929456
NUT_VEG_DAY_QTY,0.00022484558792432453,1.0,0.043680993740197196,0.839102085671474
NUT_JUICE_DAY_QTY,0.005263576826359893,1.0,1.0225607205628438,0.33832468308070585
REFINED_GRAIN_SERVINGS_DAY_QTY,0.005452854790151644,1.0,1.0593319537805816,0.3302329776781597
PM_BIOIMPED_FFM,0.001537312020052611,1.0,0.2986552564564838,0.5980118571307387
SALT_SEASONING,7.483987793449392e-05,1.0,0.01453922342774195,0.9066737304802144
NUTS_SEEDS_SERVINGS_PER_DAY,0.004037026704027158,1.0,0.7842775115826145,0.39887937846226657
Residual,0.04632702047382004,9.0,,
