,sum_sq,df,F,PR(>F)
Crohn_case_control,7.990819636771057e-06,1.0,0.007933043942064025,0.9309786813250877
A_SMK_CIG_CUR_FREQ,0.0003446602922176768,1.0,0.3421683090762763,0.5729511597785082
F1_SDC_AGE_CALC,0.0003978372155815818,1.0,0.39496074951735394,0.5453197905251577
SDC_GENDER,0.003386334183567827,1.0,3.3618501107368624,0.09993299960318007
A_HS_DENTAL_VISIT_LAST,0.00973606936161655,1.0,9.665675059573392,0.012539737072487343
PM_BIOIMPED_BMI,0.008259470575544636,1.0,8.199752464999568,0.01867288485527517
PM_BIOIMPED_WEIGHT,0.00513255546656179,1.0,5.095445761777762,0.05039771768036865
PM_WAIST_AVG,0.003911168727097932,1.0,3.882889964643494,0.08027688349112198
PM_WAIST_HIP_RATIO,0.0007315506833143037,1.0,0.7262613824837111,0.416198484185985
PM_STANDING_HEIGHT_AVG,0.006207671975431029,1.0,6.162788899952325,0.034848406965466795
A_SLE_LIGHT_EXP,0.0023702182716320965,1.0,2.353080979905389,0.15940421599326995
NUT_VEG_DAY_QTY,0.0010608219860348816,1.0,1.0531519684409887,0.33157268985638294
NUT_JUICE_DAY_QTY,0.003782245746500257,1.0,3.754899130572248,0.08461339148613269
REFINED_GRAIN_SERVINGS_DAY_QTY,0.013548987211163202,1.0,13.451024525946346,0.005174374926936813
PM_BIOIMPED_FFM,0.00047276286318225804,1.0,0.4693446652884713,0.5105461896787868
SALT_SEASONING,0.00010226771030282586,1.0,0.1015282882813784,0.7572736010025941
NUTS_SEEDS_SERVINGS_PER_DAY,0.001217809475673803,1.0,1.209004397887528,0.30006976246108735
Residual,0.009065546246328746,9.0,,
