,sum_sq,df,F,PR(>F)
CASE_CONTROL,1.3253634438451365,1.0,8.354063097173334,0.004408136093591918
A_SMK_CIG_CUR_FREQ,0.015052180618509044,1.0,0.09487727100142286,0.7584848762129388
F1_SDC_AGE_CALC,0.2985793790321211,1.0,1.882012804512381,0.17211378778940867
SDC_GENDER,0.887524427420107,1.0,5.594265558916802,0.019273307816297096
A_HS_DENTAL_VISIT_LAST,0.12050841063782472,1.0,0.7595915451596649,0.38482192159349693
PM_BIOIMPED_BMI,0.21782908176678006,1.0,1.373025566632153,0.24311418272801458
PM_BIOIMPED_WEIGHT,0.2489609622895402,1.0,1.5692567931901031,0.2122262522647431
PM_WAIST_AVG,0.001431740790159356,1.0,0.0090245833739667,0.9244408724062986
PM_WAIST_HIP_RATIO,0.13862909169987284,1.0,0.8738102627945178,0.3513756117076614
PM_STANDING_HEIGHT_AVG,0.2637126185335738,1.0,1.6622397916444256,0.19924690501094935
A_SLE_LIGHT_EXP,0.0008376833389818855,1.0,0.005280105997946332,0.9421681332550133
NUT_VEG_DAY_QTY,0.1817273650226255,1.0,1.1454683475180074,0.28618528925670195
NUT_JUICE_DAY_QTY,0.0022368752401709484,1.0,0.014099526423241504,0.9056359722602204
REFINED_GRAIN_SERVINGS_DAY_QTY,0.017104426921846345,1.0,0.10781303981912976,0.7430967714724965
PM_BIOIMPED_FFM,0.21442179401467357,1.0,1.3515486675947523,0.24681769369514817
SALT_SEASONING,0.14949489054615664,1.0,0.9422998303803691,0.3332191777939729
NUTS_SEEDS_SERVINGS_PER_DAY,0.1486030669075865,1.0,0.9366784659291582,0.3346609088339503
Residual,24.273291277500448,153.0,,
