,sum_sq,df,F,PR(>F)
Crohn_case_control,16.793840512215706,1.0,0.37726535449791854,0.5527869981842006
A_SMK_CIG_CUR_FREQ,0.12676093150658302,1.0,0.002847621884138515,0.9584935985507004
F1_SDC_AGE_CALC,79.80949244386616,1.0,1.7928809337704985,0.21021615140610475
SDC_GENDER,57.45976965222896,1.0,1.2908054206808026,0.2823939304436923
A_HS_DENTAL_VISIT_LAST,47.620912042550145,1.0,1.06978033107905,0.3253598780557696
PM_BIOIMPED_BMI,61.93387339906892,1.0,1.3913139574198685,0.2654837711425823
PM_BIOIMPED_WEIGHT,54.15731366112584,1.0,1.21661737362325,0.29586163167255175
PM_WAIST_AVG,0.18772442391888483,1.0,0.004217136710698207,0.94950204403437
PM_WAIST_HIP_RATIO,40.975175354277276,1.0,0.9204871300523184,0.3599693892187842
PM_STANDING_HEIGHT_AVG,72.34508800613794,1.0,1.6251967650261905,0.23119217690985636
A_SLE_LIGHT_EXP,26.277587720730462,1.0,0.5903130638641256,0.46005723881423044
NUT_VEG_DAY_QTY,90.02149828810994,1.0,2.022288614649751,0.1854377183183625
NUT_JUICE_DAY_QTY,99.53683557863535,1.0,2.2360459796471224,0.16569847928913214
REFINED_GRAIN_SERVINGS_DAY_QTY,146.67714027172764,1.0,3.2950297033667275,0.09955052600235605
PM_BIOIMPED_FFM,1.8739342469288922,1.0,0.04209700976135708,0.8415512066341525
SALT_SEASONING,64.0164183291106,1.0,1.4380973034161895,0.25809091783282634
NUTS_SEEDS_SERVINGS_PER_DAY,61.30632522702864,1.0,1.377216396863837,0.2677690070886337
Residual,445.1466404744664,10.0,,
