,sum_sq,df,F,PR(>F)
UC_case_control,164.92552519754543,1.0,7.816863478320018,0.010267086102631159
A_SMK_CIG_CUR_FREQ,156.71605502202073,1.0,7.427764777469729,0.012062304080400574
F1_SDC_AGE_CALC,0.2422589080269896,1.0,0.011482181476673249,0.9155952796320143
SDC_GENDER,157.170238738875,1.0,7.449291415656714,0.011954390551186867
PM_BIOIMPED_WEIGHT,69.09305367164998,1.0,3.2747566952090184,0.08344197972855943
PM_WAIST_AVG,37.754220197034506,1.0,1.7894112185312796,0.1940758207525021
PM_WAIST_HIP_RATIO,16.90135512529923,1.0,0.8010620882050989,0.38004741065317027
PM_STANDING_HEIGHT_AVG,54.60232988133514,1.0,2.5879496686116528,0.12132134388830909
A_SLE_LIGHT_EXP,24.586971869862953,1.0,1.165332062588901,0.29155332103659554
NUT_VEG_DAY_QTY,50.003641276763176,1.0,2.369988737711552,0.13733390461568626
REFINED_GRAIN_SERVINGS_DAY_QTY,0.7157638439768373,1.0,0.03392457440643492,0.8554816423524025
PM_BIOIMPED_FFM,16.432073267659387,1.0,0.7788198536593596,0.386633151813808
Residual,485.2697108071778,23.0,,
