,sum_sq,df,F,PR(>F)
UC_case_control,0.6304463053698119,1.0,2.5437989333685262,0.12437863180435785
A_SMK_CIG_CUR_FREQ,1.452391972180547,1.0,5.860282022746859,0.023784556490127135
F1_SDC_AGE_CALC,0.0002561319509997399,1.0,0.0010334713332526358,0.9746316559178395
SDC_GENDER,1.4549999438215415,1.0,5.8708049735867815,0.023672263642992686
PM_BIOIMPED_WEIGHT,0.24238052277024447,1.0,0.9779854525923234,0.33298698299468477
PM_WAIST_AVG,0.38413570417152565,1.0,1.5499559379083083,0.22567804390416873
PM_WAIST_HIP_RATIO,0.2845334372567941,1.0,1.1480689918183336,0.2950688280635236
PM_STANDING_HEIGHT_AVG,0.23600628393919956,1.0,0.9522659237421434,0.3392959554161501
A_SLE_LIGHT_EXP,0.3868490386769524,1.0,1.560904019230996,0.22409836372921738
NUT_VEG_DAY_QTY,0.0013547273439892035,1.0,0.005466213289367191,0.9417022805131222
REFINED_GRAIN_SERVINGS_DAY_QTY,0.19668493608207063,1.0,0.7936075227243063,0.38223612564539067
PM_BIOIMPED_FFM,0.024275005216361438,1.0,0.09794764732687809,0.7571268437527063
Residual,5.700240232550246,23.0,,
