,sum_sq,df,F,PR(>F)
CASE_CONTROL,0.0028945433801823334,1.0,1.104116039600751,0.2982234384685837
A_SMK_CIG_CUR_FREQ,0.0006822626701806229,1.0,0.26024732001764334,0.6121089702503386
F1_SDC_AGE_CALC,0.0005206723359412442,1.0,0.1986091075452824,0.6576958805413935
SDC_GENDER,0.0006833510794251666,1.0,0.2606624908914945,0.6118260382482612
A_HS_DENTAL_VISIT_LAST,0.00015209144300838473,1.0,0.05801488513224597,0.810608624695983
PM_BIOIMPED_BMI,0.00018664990057187827,1.0,0.07119711883478995,0.7906570209640815
PM_BIOIMPED_WEIGHT,0.00022874972848596634,1.0,0.08725598863187968,0.7688713183058682
PM_WAIST_AVG,0.0020340858403304057,1.0,0.7758967502819395,0.3824522130031168
PM_WAIST_HIP_RATIO,0.0012476525847980612,1.0,0.4759138315757771,0.49334646001079097
PM_STANDING_HEIGHT_AVG,0.00010116887554681726,1.0,0.038590604295098446,0.845027687940009
A_SLE_LIGHT_EXP,0.004547615203119473,1.0,1.7346759845002386,0.19358947549557004
NUT_VEG_DAY_QTY,0.009800058887827421,1.0,3.7382069590542994,0.05863393955785623
NUT_JUICE_DAY_QTY,3.517952821345953e-05,1.0,0.013419139485697071,0.9082247535377543
REFINED_GRAIN_SERVINGS_DAY_QTY,0.010537992832064125,1.0,4.019689941681516,0.050190693837321505
PM_BIOIMPED_FFM,0.005598575870061908,1.0,2.135562195881721,0.14993459024032235
SALT_SEASONING,0.004063683401467525,1.0,1.5500814581459135,0.21870508219786933
NUTS_SEEDS_SERVINGS_PER_DAY,0.0023423553066343025,1.0,0.8934853359620255,0.34890621027945623
Residual,0.13632285952834097,52.0,,
