,sum_sq,df,F,PR(>F)
Both_case_control,0.4120529042054294,1.0,2.5434499295576236,0.12123500458873196
A_SMK_CIG_CUR_FREQ,0.26420815883061716,1.0,1.6308590865585946,0.21138030964118512
F1_SDC_AGE_CALC,0.19790094222686222,1.0,1.2215692024715201,0.27783833748233994
SDC_GENDER,0.20022296542649157,1.0,1.235902191471845,0.2750924060803005
A_HS_DENTAL_VISIT_LAST,0.47634159455274067,1.0,2.940280198841929,0.09671012413886207
PM_BIOIMPED_BMI,0.17867692067538204,1.0,1.1029064391178376,0.3020158694594746
PM_BIOIMPED_WEIGHT,0.18073243621836008,1.0,1.1155943750834232,0.29930091141498927
PM_WAIST_AVG,0.14568393070864083,1.0,0.8992529345548241,0.3505589457595465
PM_WAIST_HIP_RATIO,0.13311187526977625,1.0,0.8216502937433598,0.371921462737244
PM_STANDING_HEIGHT_AVG,0.10032072470684432,1.0,0.6192426690471335,0.43750161019617684
A_SLE_LIGHT_EXP,0.010613370619585357,1.0,0.0655124050316004,0.7997333639357069
NUT_VEG_DAY_QTY,0.40352389624283336,1.0,2.49080352303977,0.1250009696485173
NUT_JUICE_DAY_QTY,0.3210672407176266,1.0,1.9818291351718809,0.1694760717846427
REFINED_GRAIN_SERVINGS_DAY_QTY,0.03957441143839997,1.0,0.2442781811703987,0.6247329313573049
PM_BIOIMPED_FFM,0.13120491584082009,1.0,0.8098793396358998,0.37532338629695006
SALT_SEASONING,0.07936095805952555,1.0,0.489865794236686,0.4893794566320121
NUTS_SEEDS_SERVINGS_PER_DAY,0.02627840239584169,1.0,0.16220684295739943,0.6899885308556992
Residual,4.860165314248158,30.0,,
