,sum_sq,df,F,PR(>F)
Crohn_case_control,0.004348338259145287,1.0,1.9036572856357186,0.1709083626678816
A_SMK_CIG_CUR_FREQ,0.0008834092289375092,1.0,0.3867473767312849,0.5355037375333072
F1_SDC_AGE_CALC,0.0033676722682135993,1.0,1.4743319095599325,0.22767322026871456
SDC_GENDER,0.00047268173287025485,1.0,0.20693514877157862,0.6502181343394137
PM_BIOIMPED_WEIGHT,1.7054091677270784e-06,1.0,0.0007466104046311561,0.9782584944916187
PM_WAIST_AVG,1.4080533264164936e-05,1.0,0.006164311085410449,0.9375850268999117
PM_WAIST_HIP_RATIO,7.89818566213601e-06,1.0,0.00345774357535473,0.953232867606511
PM_STANDING_HEIGHT_AVG,0.0028747480490931778,1.0,1.258534810743767,0.26475616825668324
A_SLE_LIGHT_EXP,1.8416709421812796e-05,1.0,0.008062643929444707,0.9286413638203181
NUT_VEG_DAY_QTY,0.0018100609566042032,1.0,0.7924258698681934,0.3756164047761871
REFINED_GRAIN_SERVINGS_DAY_QTY,0.0006864328864705113,1.0,0.300513181715168,0.5848467617937317
PM_BIOIMPED_FFM,5.216805932374946e-06,1.0,0.0022838634046067176,0.9619841031617654
Residual,0.2169992139529736,95.0,,
