"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.111526030762897,0.111526030762897,0,0.0120421812184129,1
"md$A_SMK_CIG_CUR_FREQ",1,0.100403410082972,0.100403410082972,0,0.010841200488308,1
"md$F1_SDC_AGE_CALC",1,0.0584830985008551,0.0584830985008551,0,0.00631479543873345,1
"md$SDC_GENDER",1,0.0383830461614295,0.0383830461614295,0,0.0041444638030139,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.394148896419363,0.394148896419363,0,0.042558785650771,1
"md$PM_BIOIMPED_BMI",1,0.041826949393111,0.041826949393111,0,0.00451632413491037,1
"md$PM_BIOIMPED_WEIGHT",1,0.0632716215505554,0.0632716215505554,0,0.00683184300098044,1
"md$PM_WAIST_AVG",1,0.0429708759614297,0.0429708759614297,0,0.00463984122721626,1
"md$PM_WAIST_HIP_RATIO",1,0.0277143902537944,0.0277143902537944,0,0.00299250056252373,1
"md$PM_STANDING_HEIGHT_AVG",1,0.120404014062401,0.120404014062401,0,0.0130007940464257,1
"md$A_SLE_LIGHT_EXP",1,0.00310687874886162,0.00310687874886162,0,0.000335469635756771,1
"md$NUT_VEG_DAY_QTY",1,0.178463486766998,0.178463486766998,0,0.0192698478894758,1
"md$NUT_JUICE_DAY_QTY",1,0.168743117181867,0.168743117181867,0,0.0182202772085022,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.159946231933014,0.159946231933014,0,0.0172704210574348,1
"md$PM_BIOIMPED_FFM",1,0.427926145756366,0.427926145756366,0,0.0462059320146585,1
"md$SALT_SEASONING",1,0.294692498908489,0.294692498908489,0,0.0318198401869744,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.072048307393286,0.072048307393286,0,0.00777951809254662,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.147785525597605,0.147785525597605,0,0.0159573515575776,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,0.0684569700202569,0.0684569700202569,0,0.00739173835030492,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.0352328303321379,0.0352328303321379,0,0.00380431478458346,1
"md$Crohn_case_control:md$SDC_GENDER",1,0.184530104253881,0.184530104253881,0,0.0199248995098024,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0498985209314595,0.0498985209314595,0,0.00538786351022286,1
"md$Crohn_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0366034885928221,0.0366034885928221,0,0.00395231355268062,1
"md$A_SMK_CIG_CUR_FREQ:md$A_HS_DENTAL_VISIT_LAST",1,0.0568404946388053,0.0568404946388053,0,0.00613743295894681,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0395140744384768,0.0395140744384768,0,0.00426658818404122,1
"md$SDC_GENDER:md$A_HS_DENTAL_VISIT_LAST",1,0.0391486443655711,0.0391486443655711,0,0.00422713035405762,1
"md$Crohn_case_control:md$PM_BIOIMPED_BMI",1,0.133821164659906,0.133821164659906,0,0.0144495298960266,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.0105595035193793,0.0105595035193793,0,0.00114017735668522,1
"md$SDC_GENDER:md$PM_BIOIMPED_BMI",1,0.153027922497441,0.153027922497441,0,0.0165234067919908,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0969688741862553,0.0969688741862553,0,0.0104703516076791,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0812608702563336,0.0812608702563336,0,0.00877425762307555,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0542205717518978,0.0542205717518978,0,0.00585454307246388,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.0798212081369507,0.0798212081369507,0,0.00861880806554803,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0389871347972632,0.0389871347972632,0,0.00420969112953966,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0740359616416684,0.0740359616416684,0,0.00799413787677848,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,0.152335216383435,0.152335216383435,0,0.0164486108676769,1
