"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.356834257440901,0.356834257440901,0,0.0111350697327365,1
"md$A_SMK_CIG_CUR_FREQ",1,0.439528237974518,0.439528237974518,0,0.0137155485419267,1
"md$F1_SDC_AGE_CALC",1,0.42015111064702,0.42015111064702,0,0.0131108822031082,1
"md$PM_BIOIMPED_WEIGHT",1,0.332474760767697,0.332474760767697,0,0.0103749277663912,1
"md$PM_WAIST_AVG",1,0.0838279443132628,0.0838279443132628,0,0.00261586432921095,1
"md$PM_WAIST_HIP_RATIO",1,0.218157598507389,0.218157598507389,0,0.00680764254398537,1
"md$PM_STANDING_HEIGHT_AVG",1,0.136533793713042,0.136533793713042,0,0.00426055873887492,1
"md$A_SLE_LIGHT_EXP",1,0.130108721375666,0.130108721375666,0,0.00406006333513302,1
"md$NUT_VEG_DAY_QTY",1,0.258105469830544,0.258105469830544,0,0.00805422221951268,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.156406497166206,0.156406497166206,0,0.00488068960948123,1
"md$PM_BIOIMPED_FFM",1,0.416348710760805,0.416348710760805,0,0.0129922277101556,1
"md$CASE_CONTROL:md$A_SMK_CIG_CUR_FREQ",1,0.251936125248003,0.251936125248003,0,0.00786170684101585,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.336858723943545,0.336858723943545,0,0.0105117300342533,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.169582735562257,0.169582735562257,0,0.00529185622338034,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.211115917010465,0.211115917010465,0,0.0065879057533916,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.156456698708648,0.156456698708648,0,0.00488225615659412,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.177248830821917,0.177248830821917,0,0.00553107794470919,1
"md$CASE_CONTROL:md$PM_WAIST_AVG",1,0.111742443913996,0.111742443913996,0,0.00348694072708199,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_AVG",1,0.168729019298073,0.168729019298073,0,0.00526521587163321,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.156971021111597,0.156971021111597,0,0.00489830566894483,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0778294944873394,0.0778294944873394,0,0.00242868174876311,1
"md$CASE_CONTROL:md$PM_WAIST_HIP_RATIO",1,0.102114367570191,0.102114367570191,0,0.00318649507410785,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_WAIST_HIP_RATIO",1,0.269070865595996,0.269070865595996,0,0.00839639913764556,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.171920318672464,0.171920318672464,0,0.00536480087596192,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.127333098986703,0.127333098986703,0,0.00397344959721869,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.148299468211131,0.148299468211131,0,0.00462770848208757,1
"md$CASE_CONTROL:md$PM_STANDING_HEIGHT_AVG",1,0.128455300961154,0.128455300961154,0,0.00400846808823842,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_STANDING_HEIGHT_AVG",1,0.193498183141031,0.193498183141031,0,0.00603814156713931,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.138721180673955,0.138721180673955,0,0.00432881649673968,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.15425791367534,0.15425791367534,0,0.00481364272006825,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.129537514917788,0.129537514917788,0,0.00404223874680487,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.168438754509959,0.168438754509959,0,0.00525615811277397,1
"md$CASE_CONTROL:md$A_SLE_LIGHT_EXP",1,0.153683148703493,0.153683148703493,0,0.00479570708774598,1
"md$A_SMK_CIG_CUR_FREQ:md$A_SLE_LIGHT_EXP",1,0.152939508468047,0.152939508468047,0,0.00477250167597542,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.0894984261111542,0.0894984261111542,0,0.0027928126152039,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.211343710171581,0.211343710171581,0,0.00659501407519866,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.160446394460669,0.160446394460669,0,0.00500675524681535,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.158019219825503,0.158019219825503,0,0.00493101487645425,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.186039948950812,0.186039948950812,0,0.00580540618352799,1
"md$CASE_CONTROL:md$NUT_VEG_DAY_QTY",1,0.352585531063805,0.352585531063805,0,0.0110024875506792,1
"md$A_SMK_CIG_CUR_FREQ:md$NUT_VEG_DAY_QTY",1,0.219260257878819,0.219260257878819,0,0.00684205120497094,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.292051388127168,0.292051388127168,0,0.00911350999666029,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,0.472129677616987,0.472129677616987,0,0.014732881648927,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,0.193616455489199,0.193616455489199,0,0.00604183227456674,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,0.17141185909521,0.17141185909521,0,0.0053489343140191,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,0.174599106387117,0.174599106387117,0,0.00544839287246968,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,0.246809528627702,0.246809528627702,0,0.00770173057845615,1
"md$CASE_CONTROL:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.173481403131349,0.173481403131349,0,0.00541351476468168,1
"md$A_SMK_CIG_CUR_FREQ:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.155573020376226,0.155573020376226,0,0.00485468083374425,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.13163922244027,0.13163922244027,0,0.00410782286417213,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0887524231964054,0.0887524231964054,0,0.00276953347565007,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.113179583202381,0.113179583202381,0,0.00353178688705158,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.156755240453849,0.156755240453849,0,0.00489157219921512,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0842431405208703,0.0842431405208703,0,0.00262882059287698,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.20204487090524,0.20204487090524,0,0.00630484231756867,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.132811061057007,0.132811061057007,0,0.00414439027450558,1
"md$CASE_CONTROL:md$PM_BIOIMPED_FFM",1,0.360148557319937,0.360148557319937,0,0.0112384929873671,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,0.114737103756502,0.114737103756502,0,0.00358038956355659,1
"md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,0.225668961526376,0.225668961526376,0,0.00704203582114476,1
"md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,0.249172019904023,0.249172019904023,0,0.00777545249432117,1
"md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,0.152587250966716,0.152587250966716,0,0.00476150942464471,1
