"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.137948111268693,0.137948111268693,0,0.0148320628894196,1
"md$A_SMK_CIG_CUR_FREQ",1,0.209694580028157,0.209694580028157,0,0.022546181821149,1
"md$F1_SDC_AGE_CALC",1,0.397094931448806,0.397094931448806,0,0.0426953072582959,1
"md$PM_BIOIMPED_WEIGHT",1,0.204056306579076,0.204056306579076,0,0.0219399594842471,1
"md$PM_WAIST_AVG",1,0.115703656611555,0.115703656611555,0,0.0124403581579726,1
"md$PM_WAIST_HIP_RATIO",1,0.276500641943881,0.276500641943881,0,0.0297291124362589,1
"md$PM_STANDING_HEIGHT_AVG",1,0.200942484889834,0.200942484889834,0,0.0216051640405362,1
"md$A_SLE_LIGHT_EXP",1,0.121720722537824,0.121720722537824,0,0.013087307937911,1
"md$NUT_VEG_DAY_QTY",1,0.173268988075784,0.173268988075784,0,0.0186297333416942,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.12842802443825,0.12842802443825,0,0.013808471299196,1
"md$PM_BIOIMPED_FFM",1,0.178729067955251,0.178729067955251,0,0.0192167964584612,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.141233591040625,0.141233591040625,0,0.0151853148633035,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.132262715321726,0.132262715321726,0,0.0142207739818649,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.271464404507352,0.271464404507352,0,0.0291876204962992,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.125815418430668,0.125815418430668,0,0.013527566136716,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.174049185333166,0.174049185333166,0,0.0187136194832384,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.202937369946146,0.202937369946146,0,0.0218196523748836,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.217710598731544,0.217710598731544,0,0.0234080572932954,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.292768775087588,0.292768775087588,0,0.0314782481921731,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.312797659382507,0.312797659382507,0,0.0336317366940094,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.143930027398628,0.143930027398628,0,0.0154752333933319,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.093031073622603,0.093031073622603,0,0.0100026214346135,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.115321236851622,0.115321236851622,0,0.0123992407125989,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.142807745837473,0.142807745837473,0,0.0153545666401476,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.148353870155452,0.148353870155452,0,0.0159508811813201,1
