"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.0759532473251838,0.0759532473251838,0,0.0337898190868704,1
"md$A_SMK_CIG_CUR_FREQ",1,0.0920668146880828,0.0920668146880828,0,0.0409583674401141,1
"md$F1_SDC_AGE_CALC",1,0.051031257670952,0.051031257670952,0,0.0227026101608851,1
"md$PM_BIOIMPED_WEIGHT",1,0.0493701818845219,0.0493701818845219,0,0.0219636364857669,1
"md$PM_WAIST_AVG",1,0.042080366965506,0.042080366965506,0,0.0187205687307343,1
"md$PM_WAIST_HIP_RATIO",1,0.0625204448030727,0.0625204448030727,0,0.0278138801634362,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0139579413616054,0.0139579413616054,0,0.00620956088176908,1
"md$A_SLE_LIGHT_EXP",1,0.00911524650576878,0.00911524650576878,0,0.00405515947255662,1
"md$NUT_VEG_DAY_QTY",1,0.261531340896024,0.261531340896024,0,0.116349162223288,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.269774797044262,0.269774797044262,0,0.120016482604034,1
"md$PM_BIOIMPED_FFM",1,0.121855544755381,0.121855544755381,0,0.0542106750799994,1
"md$Crohn_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.0302934434015167,0.0302934434015167,0,0.0134768427697785,1
"md$Crohn_case_control:md$F1_SDC_AGE_CALC",1,0.126021534084717,0.126021534084717,0,0.0560640260651576,1
"md$A_SMK_CIG_CUR_FREQ:md$F1_SDC_AGE_CALC",1,0.120370854023444,0.120370854023444,0,0.0535501709804534,1
"md$Crohn_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0483422309125485,0.0483422309125485,0,0.0215063251976209,1
"md$A_SMK_CIG_CUR_FREQ:md$PM_BIOIMPED_WEIGHT",1,0.0195998066357166,0.0195998066357166,0,0.00871949447431875,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0611706505066718,0.0611706505066718,0,0.027213388325548,1
"md$Crohn_case_control:md$PM_WAIST_AVG",1,0.0376542651803968,0.0376542651803968,0,0.0167514998120796,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.514755832672281,0.514755832672281,0,0.22900280201898,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0290185461242545,0.0290185461242545,0,0.0129096708598192,1
"md$Crohn_case_control:md$PM_WAIST_HIP_RATIO",1,0.0365750324662022,0.0365750324662022,0,0.0162713744790686,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0279542069143965,0.0279542069143965,0,0.0124361712977242,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0309355320173155,0.0309355320173155,0,0.0137624929418203,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0916747025904647,0.0916747025904647,0,0.0407839259605607,1
"md$Crohn_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.0241907386274396,0.0241907386274396,0,0.0107618924876162,1
"Residuals",0,1.34624436171169e-16,Inf,NA,5.98912555169638e-17,NA
"Total",25,2.24781456005773,NA,NA,1,NA
