"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.00541346042122414,0.00541346042122414,0,0.00214798738626916,1
"md$F1_SDC_AGE_CALC",1,0.0883144077421109,0.0883144077421109,0,0.0350419545162186,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.0988891275924853,0.0988891275924853,0,0.0392378593690332,1
"md$PM_BIOIMPED_BMI",1,0.0188139692357961,0.0188139692357961,0,0.00746512682455479,1
"md$PM_BIOIMPED_WEIGHT",1,0.0638716012791851,0.0638716012791851,0,0.0253433817213499,1
"md$PM_WAIST_AVG",1,0.0430314737834241,0.0430314737834241,0,0.0170743028871107,1
"md$PM_WAIST_HIP_RATIO",1,0.0641111856325815,0.0641111856325815,0,0.0254384455306326,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0563696110074673,0.0563696110074673,0,0.0223666941275169,1
"md$A_SLE_LIGHT_EXP",1,0.0672674982305788,0.0672674982305788,0,0.0266908273936347,1
"md$NUT_VEG_DAY_QTY",1,0.0124742686732769,0.0124742686732769,0,0.00494961996176789,1
"md$NUT_JUICE_DAY_QTY",1,0.0729364847378902,0.0729364847378902,0,0.028940204051658,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0507128554571009,0.0507128554571009,0,0.0201221705466744,1
"md$PM_BIOIMPED_FFM",1,0.0126251666387639,0.0126251666387639,0,0.00500949421986884,1
"md$SALT_SEASONING",1,0.0968401595685529,0.0968401595685529,0,0.0384248567555809,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.133835298270983,0.133835298270983,0,0.0531040240723948,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.0720499288964823,0.0720499288964823,0,0.028588430765,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0994280122599763,0.0994280122599763,0,0.0394516814677201,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0503051422412097,0.0503051422412097,0,0.0199603954939713,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,0.0386815684350525,0.0386815684350525,0,0.0153483196725417,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.160183561461247,0.160183561461247,0,0.0635586561522556,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.0613775851780924,0.0613775851780924,0,0.0243537900905889,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.0883535958297976,0.0883535958297976,0,0.0350575038158335,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0504586750295195,0.0504586750295195,0,0.020021315213893,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.262686349746702,0.262686349746702,0,0.104230366881192,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0508575457830249,0.0508575457830249,0,0.0201795816979191,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.0456089237267245,0.0456089237267245,0,0.018096999930437,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0755789460021292,0.0755789460021292,0,0.0299886967019482,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.0808368914946083,0.0808368914946083,0,0.0320749778819595,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.0224100309633064,0.0224100309633064,0,0.00889199515458883,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0991343343871991,0.0991343343871991,0,0.0393351540864764,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.166692207319096,0.166692207319096,0,0.0661411982078954,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0960171797939759,0.0960171797939759,0,0.0380983095865991,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.11408072364187,0.11408072364187,0,0.0452656778349149,1
"Residuals",0,1.70097990260195e-16,Inf,NA,6.74925665062888e-17,NA
"Total",33,2.52024777046144,NA,NA,1,NA
