"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.0275829381338481,0.0275829381338481,0,0.00350203132179368,1
"md$A_SMK_CIG_CUR_FREQ",1,0.071560226349563,0.071560226349563,0,0.00908554965590439,1
"md$F1_SDC_AGE_CALC",1,0.146573859023089,0.146573859023089,0,0.0186095564861211,1
"md$SDC_GENDER",1,0.347877662820586,0.347877662820586,0,0.0441678281493544,1
"md$PM_BIOIMPED_WEIGHT",1,0.12587058858157,0.12587058858157,0,0.0159809930895049,1
"md$PM_WAIST_AVG",1,0.0383599815163099,0.0383599815163099,0,0.00487032440567646,1
"md$PM_WAIST_HIP_RATIO",1,0.119608131343688,0.119608131343688,0,0.0151858884747596,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0961486079795999,0.0961486079795999,0,0.0122073810649716,1
"md$A_SLE_LIGHT_EXP",1,0.0552063586323345,0.0552063586323345,0,0.0070092024335639,1
"md$NUT_VEG_DAY_QTY",1,0.0348050008514695,0.0348050008514695,0,0.00441897097928551,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0738680518223391,0.0738680518223391,0,0.00937855966998181,1
"md$PM_BIOIMPED_FFM",1,0.147392672155859,0.147392672155859,0,0.0187135160144259,1
"md$UC_case_control:md$A_SMK_CIG_CUR_FREQ",1,0.076148271143202,0.076148271143202,0,0.00966806470543057,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.131081134225801,0.131081134225801,0,0.0166425431376247,1
"md$UC_case_control:md$SDC_GENDER",1,0.0299863699187646,0.0299863699187646,0,0.00380717986506085,1
"md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0790186504867023,0.0790186504867023,0,0.010032498628952,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.251635713179806,0.251635713179806,0,0.0319485960836121,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0529718232490823,0.0529718232490823,0,0.00672549759893636,1
"md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.156078566586342,0.156078566586342,0,0.0198163091326115,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.225536564975038,0.225536564975038,0,0.028634952191083,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.0295458093274896,0.0295458093274896,0,0.00375124467127163,1
"md$SDC_GENDER:md$PM_WAIST_AVG",1,0.031708892455852,0.031708892455852,0,0.00402587766469711,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.0681937754413453,0.0681937754413453,0,0.00865813266114298,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.165386609370197,0.165386609370197,0,0.0209980924950465,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0624981569034389,0.0624981569034389,0,0.00793499597353027,1
"md$SDC_GENDER:md$PM_WAIST_HIP_RATIO",1,0.0463972158057531,0.0463972158057531,0,0.00589076124549536,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_HIP_RATIO",1,0.0369281037160798,0.0369281037160798,0,0.00468852793131054,1
"md$PM_WAIST_AVG:md$PM_WAIST_HIP_RATIO",1,0.0747108183422469,0.0747108183422469,0,0.0094855604084584,1
"md$UC_case_control:md$PM_STANDING_HEIGHT_AVG",1,0.0713577144462874,0.0713577144462874,0,0.00905983799948599,1
"md$F1_SDC_AGE_CALC:md$PM_STANDING_HEIGHT_AVG",1,0.0910188738688684,0.0910188738688684,0,0.0115560911465053,1
"md$SDC_GENDER:md$PM_STANDING_HEIGHT_AVG",1,0.0947737660268286,0.0947737660268286,0,0.0120328260716726,1
"md$PM_BIOIMPED_WEIGHT:md$PM_STANDING_HEIGHT_AVG",1,0.103135236331428,0.103135236331428,0,0.0130944291090597,1
"md$PM_WAIST_AVG:md$PM_STANDING_HEIGHT_AVG",1,0.239748883566294,0.239748883566294,0,0.0304394004561795,1
"md$PM_WAIST_HIP_RATIO:md$PM_STANDING_HEIGHT_AVG",1,0.0434810811830237,0.0434810811830237,0,0.00552051806335831,1
"md$UC_case_control:md$A_SLE_LIGHT_EXP",1,0.0341495808477017,0.0341495808477017,0,0.00433575644387282,1
"md$F1_SDC_AGE_CALC:md$A_SLE_LIGHT_EXP",1,0.0413715463676181,0.0413715463676181,0,0.00525268376078635,1
"md$SDC_GENDER:md$A_SLE_LIGHT_EXP",1,0.0484918811474437,0.0484918811474437,0,0.0061567076649696,1
"md$PM_BIOIMPED_WEIGHT:md$A_SLE_LIGHT_EXP",1,0.194230685348291,0.194230685348291,0,0.0246602425181263,1
"md$PM_WAIST_AVG:md$A_SLE_LIGHT_EXP",1,0.0743411620412369,0.0743411620412369,0,0.00943862748426615,1
"md$PM_WAIST_HIP_RATIO:md$A_SLE_LIGHT_EXP",1,0.0956150143825525,0.0956150143825525,0,0.0121396340584381,1
"md$PM_STANDING_HEIGHT_AVG:md$A_SLE_LIGHT_EXP",1,0.00548740754620836,0.00548740754620836,0,0.00069670145395739,1
"md$UC_case_control:md$NUT_VEG_DAY_QTY",1,0.0891586191098197,0.0891586191098197,0,0.0113199063571587,1
"md$F1_SDC_AGE_CALC:md$NUT_VEG_DAY_QTY",1,0.178310593316449,0.178310593316449,0,0.0226389690529572,1
"md$SDC_GENDER:md$NUT_VEG_DAY_QTY",1,0.145903730202686,0.145903730202686,0,0.0185244744652248,1
"md$PM_BIOIMPED_WEIGHT:md$NUT_VEG_DAY_QTY",1,0.094201166152649,0.094201166152649,0,0.0119601266846638,1
"md$PM_WAIST_AVG:md$NUT_VEG_DAY_QTY",1,0.0719476460469854,0.0719476460469854,0,0.00913473788626874,1
"md$PM_WAIST_HIP_RATIO:md$NUT_VEG_DAY_QTY",1,0.0716054395321253,0.0716054395321253,0,0.00909129008793243,1
"md$PM_STANDING_HEIGHT_AVG:md$NUT_VEG_DAY_QTY",1,0.01342728715791,0.01342728715791,0,0.00170477778565639,1
"md$A_SLE_LIGHT_EXP:md$NUT_VEG_DAY_QTY",1,0.125498672429414,0.125498672429414,0,0.0159337732462955,1
"md$UC_case_control:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0624605020779265,0.0624605020779265,0,0.00793021517832561,1
"md$F1_SDC_AGE_CALC:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.208049377445643,0.208049377445643,0,0.0264147145151383,1
"md$SDC_GENDER:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0439755800193433,0.0439755800193433,0,0.00558330145521375,1
"md$PM_BIOIMPED_WEIGHT:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0367477186685417,0.0367477186685417,0,0.00466562558191627,1
"md$PM_WAIST_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.105921135759708,0.105921135759708,0,0.013448137151686,1
"md$PM_WAIST_HIP_RATIO:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0553017830401057,0.0553017830401057,0,0.0070213178675056,1
"md$PM_STANDING_HEIGHT_AVG:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0302621452470042,0.0302621452470042,0,0.00384219331549846,1
"md$A_SLE_LIGHT_EXP:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0809314834868635,0.0809314834868635,0,0.0102753589452613,1
"md$NUT_VEG_DAY_QTY:md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0565156793440336,0.0565156793440336,0,0.00717543860899935,1
"md$UC_case_control:md$PM_BIOIMPED_FFM",1,0.216721661759669,0.216721661759669,0,0.0275157796428576,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_FFM",1,0.0496155313290716,0.0496155313290716,0,0.00629937042669951,1
"md$SDC_GENDER:md$PM_BIOIMPED_FFM",1,0.0815556425940205,0.0815556425940205,0,0.0103546044822102,1
"md$PM_BIOIMPED_WEIGHT:md$PM_BIOIMPED_FFM",1,0.058522521625556,0.058522521625556,0,0.00743023468959409,1
"md$PM_WAIST_AVG:md$PM_BIOIMPED_FFM",1,0.0565543122656136,0.0565543122656136,0,0.00718034358687985,1
"md$PM_WAIST_HIP_RATIO:md$PM_BIOIMPED_FFM",1,0.0373113218270413,0.0373113218270413,0,0.00473718271279732,1
"md$PM_STANDING_HEIGHT_AVG:md$PM_BIOIMPED_FFM",1,0.150942274225756,0.150942274225756,0,0.0191641865546113,1
"md$A_SLE_LIGHT_EXP:md$PM_BIOIMPED_FFM",1,0.10780456858164,0.10780456858164,0,0.0136872647131841,1
"md$NUT_VEG_DAY_QTY:md$PM_BIOIMPED_FFM",1,0.0877154608223778,0.0877154608223778,0,0.0111366776706278,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY:md$PM_BIOIMPED_FFM",1,0.0470770632455499,0.0470770632455499,0,0.00597707717807138,1
"md$UC_case_control:md$F1_SDC_AGE_CALC:md$SDC_GENDER",1,0.0525410225211758,0.0525410225211758,0,0.00667080155331354,1
"md$UC_case_control:md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0882013080387658,0.0882013080387658,0,0.0111983626209816,1
"md$UC_case_control:md$SDC_GENDER:md$PM_BIOIMPED_WEIGHT",1,0.0889504716809295,0.0889504716809295,0,0.0112934791936714,1
