"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.22885779142229,0.22885779142229,0,0.0172191069760637,1
"md$F1_SDC_AGE_CALC",1,0.163089272991169,0.163089272991169,0,0.0122707276900247,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.177696182062318,0.177696182062318,0,0.0133697417472811,1
"md$PM_BIOIMPED_BMI",1,0.185401086125902,0.185401086125902,0,0.0139494535695732,1
"md$PM_BIOIMPED_WEIGHT",1,0.241975498095683,0.241975498095683,0,0.0182060744421308,1
"md$PM_WAIST_AVG",1,0.126844074109228,0.126844074109228,0,0.00954366319710026,1
"md$PM_WAIST_HIP_RATIO",1,0.331666411947341,0.331666411947341,0,0.0249543587404044,1
"md$PM_STANDING_HEIGHT_AVG",1,0.159286226720558,0.159286226720558,0,0.0119845890352663,1
"md$A_SLE_LIGHT_EXP",1,0.204342594427675,0.204342594427675,0,0.0153745999703545,1
"md$NUT_VEG_DAY_QTY",1,0.1420605024268,0.1420605024268,0,0.0106885370743038,1
"md$NUT_JUICE_DAY_QTY",1,0.161051029269349,0.161051029269349,0,0.0121173715972686,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.223007376435467,0.223007376435467,0,0.0167789256700815,1
"md$PM_BIOIMPED_FFM",1,0.31319588879995,0.31319588879995,0,0.0235646489472521,1
"md$SALT_SEASONING",1,0.265410867431639,0.265410867431639,0,0.0199693359378899,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.328466131042804,0.328466131042804,0,0.0247135717481583,1
"md$CASE_CONTROL:md$F1_SDC_AGE_CALC",1,0.141116686013091,0.141116686013091,0,0.0106175249593462,1
"md$CASE_CONTROL:md$A_HS_DENTAL_VISIT_LAST",1,0.224014098605469,0.224014098605469,0,0.0168546707720188,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0923931623390066,0.0923931623390066,0,0.00695159966494907,1
"md$CASE_CONTROL:md$PM_BIOIMPED_BMI",1,0.172810774863649,0.172810774863649,0,0.0130021669810793,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.279584025412875,0.279584025412875,0,0.021035714853595,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.278877016929139,0.278877016929139,0,0.0209825200087143,1
"md$CASE_CONTROL:md$PM_BIOIMPED_WEIGHT",1,0.175220160342254,0.175220160342254,0,0.0131834475310874,1
