"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.0169580441281007,0.0169580441281007,0,0.00513998526505309,1
"md$F1_SDC_AGE_CALC",1,0.052270572029105,0.052270572029105,0,0.0158432168235894,1
"md$A_HS_DENTAL_VISIT_LAST",1,0.0913447049138048,0.0913447049138048,0,0.0276865913162455,1
"md$PM_BIOIMPED_BMI",1,0.0889094193613688,0.0889094193613688,0,0.0269484559651896,1
"md$PM_BIOIMPED_WEIGHT",1,0.130981214096272,0.130981214096272,0,0.0397004221340594,1
"md$PM_WAIST_AVG",1,0.0927291905229907,0.0927291905229907,0,0.0281062290750069,1
"md$PM_WAIST_HIP_RATIO",1,0.197643361015571,0.197643361015571,0,0.0599057270804134,1
"md$PM_STANDING_HEIGHT_AVG",1,0.0745803085989233,0.0745803085989233,0,0.0226053007272433,1
"md$A_SLE_LIGHT_EXP",1,0.0653217307004597,0.0653217307004597,0,0.0197990246252375,1
"md$NUT_VEG_DAY_QTY",1,0.101812920014856,0.101812920014856,0,0.0308595086034255,1
"md$NUT_JUICE_DAY_QTY",1,0.0277647448946203,0.0277647448946203,0,0.00841549759914975,1
"md$REFINED_GRAIN_SERVINGS_DAY_QTY",1,0.0557905148464103,0.0557905148464103,0,0.0169101119252951,1
"md$PM_BIOIMPED_FFM",1,0.0958660659426785,0.0958660659426785,0,0.0290570164012874,1
"md$SALT_SEASONING",1,0.254528627380978,0.254528627380978,0,0.0771476583260282,1
"md$NUTS_SEEDS_SERVINGS_PER_DAY",1,0.181606842822883,0.181606842822883,0,0.0550450564399483,1
"md$UC_case_control:md$F1_SDC_AGE_CALC",1,0.113069533341419,0.113069533341419,0,0.0342713894899161,1
"md$UC_case_control:md$A_HS_DENTAL_VISIT_LAST",1,0.0306518445737056,0.0306518445737056,0,0.00929057786767244,1
"md$F1_SDC_AGE_CALC:md$A_HS_DENTAL_VISIT_LAST",1,0.0936358024068582,0.0936358024068582,0,0.0283810232487336,1
"md$UC_case_control:md$PM_BIOIMPED_BMI",1,0.219394101545748,0.219394101545748,0,0.066498379215564,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_BMI",1,0.145071189312197,0.145071189312197,0,0.0439710953583855,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_BMI",1,0.07641923702709,0.07641923702709,0,0.0231626801604411,1
"md$UC_case_control:md$PM_BIOIMPED_WEIGHT",1,0.108520382992713,0.108520382992713,0,0.0328925414586084,1
"md$F1_SDC_AGE_CALC:md$PM_BIOIMPED_WEIGHT",1,0.0592017541372147,0.0592017541372147,0,0.0179440589747222,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_BIOIMPED_WEIGHT",1,0.0538634865591412,0.0538634865591412,0,0.0163260294139463,1
"md$PM_BIOIMPED_BMI:md$PM_BIOIMPED_WEIGHT",1,0.0231648955258907,0.0231648955258907,0,0.00702128268862505,1
"md$UC_case_control:md$PM_WAIST_AVG",1,0.0788686037024844,0.0788686037024844,0,0.0239050835016011,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_AVG",1,0.168158363425293,0.168158363425293,0,0.0509688206772143,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_AVG",1,0.156230164165949,0.156230164165949,0,0.0473533820117347,1
"md$PM_BIOIMPED_BMI:md$PM_WAIST_AVG",1,0.102620111033431,0.102620111033431,0,0.0311041683006298,1
"md$PM_BIOIMPED_WEIGHT:md$PM_WAIST_AVG",1,0.227061481658588,0.227061481658588,0,0.0688223630726559,1
"md$UC_case_control:md$PM_WAIST_HIP_RATIO",1,0.0599316109408461,0.0599316109408461,0,0.0181652786618468,1
"md$F1_SDC_AGE_CALC:md$PM_WAIST_HIP_RATIO",1,0.0473425567071226,0.0473425567071226,0,0.0143495347721922,1
"md$A_HS_DENTAL_VISIT_LAST:md$PM_WAIST_HIP_RATIO",1,0.00792645279287729,0.00792645279287729,0,0.00240250881833809,1
"Residuals",0,2.48627560414925e-16,Inf,NA,7.5359044201399e-17,NA
"Total",33,3.29923983311759,NA,NA,1,NA
